# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.33000000e+00
# Aref          : 2.86401925e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	1.33523407e+01	-2.07562298e-04	-1.12504274e-04	-8.80737008e-08	-1.42589066e-04	5.56179510e-05	6.67617024e+00	6.67617042e+00	-4.81631980e-05	-1.59399100e-04	-1.98841203e-04	8.63369290e-05
2               	1.14859979e+01	-3.97436587e-04	2.24370221e-04	-1.20825214e-07	-1.76319156e-05	-1.15334194e-05	5.74299883e+00	5.74299907e+00	-2.10251713e-04	-1.87184874e-04	9.45531947e-05	1.29817026e-04
3               	3.03114683e+00	-5.75899139e-04	5.17532263e-04	-6.30741070e-08	8.42498507e-05	-1.66040182e-04	1.51557335e+00	1.51557348e+00	-4.53989752e-04	-1.21909387e-04	3.43015982e-04	1.74516281e-04
4               	-5.79973958e+00	-5.57945067e-04	3.66753955e-05	-1.58995799e-09	1.74814736e-04	-2.17895593e-04	-2.89986979e+00	-2.89986979e+00	-4.96868126e-04	-6.10769403e-05	1.93152434e-04	-1.56477038e-04
5               	-9.65652227e+00	-2.14438681e-03	4.01592566e-03	-2.93835085e-08	-9.52725307e-04	-6.21319026e-04	-4.82826116e+00	-4.82826110e+00	-1.69351243e-03	-4.50874377e-04	1.05523752e-03	2.96068814e-03
6               	-5.24784062e+00	-8.14584206e-04	1.85888276e-03	-1.82028682e-07	-3.96349669e-04	-1.41399282e-04	-2.62392049e+00	-2.62392013e+00	-5.48691385e-04	-2.65892822e-04	5.33091712e-04	1.32579105e-03
7               	1.31867265e+00	4.20108380e-04	-1.87444801e-03	-6.77432605e-08	4.84404454e-04	1.93187585e-04	6.59336256e-01	6.59336392e-01	4.03241775e-04	1.68666054e-05	-4.52819551e-04	-1.42162846e-03
8               	5.46248469e+00	1.51023510e-03	-4.70184605e-03	1.27340292e-07	1.34163732e-03	5.48762605e-04	2.73124247e+00	2.73124222e+00	1.30388016e-03	2.06354948e-04	-1.00928571e-03	-3.69256034e-03
9               	5.07310505e+00	3.05870040e-03	-2.39745217e-03	8.32669461e-08	6.95481977e-04	9.18858288e-04	2.53655261e+00	2.53655244e+00	2.44820849e-03	6.10491912e-04	-5.03244106e-04	-1.89420806e-03
10              	1.75421289e+00	2.12810525e-03	1.23017606e-03	1.06357236e-07	-3.28308371e-04	5.99347780e-04	8.77106549e-01	8.77106336e-01	1.66340040e-03	4.64704845e-04	2.86779660e-04	9.43396401e-04
