# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.33000000e+00
# Aref          : 2.45006583e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	1.56082993e+00	-2.42631202e-05	-1.31512551e-05	-1.02954285e-08	-1.66680350e-05	6.50149398e-06	7.80414953e-01	7.80414974e-01	-5.63006612e-06	-1.86330541e-05	-2.32436626e-05	1.00924075e-05
2               	1.34266266e+00	-4.64585899e-05	2.62278925e-05	-1.41239363e-08	-2.06109342e-06	-1.34820602e-06	6.71331318e-01	6.71331346e-01	-2.45775010e-05	-2.18810889e-05	1.10528528e-05	1.51750397e-05
3               	3.54327740e-01	-6.73200778e-05	6.04972465e-05	-7.37308584e-09	9.84843719e-06	-1.94093674e-05	1.77163863e-01	1.77163877e-01	-5.30694063e-05	-1.42506715e-05	4.00970604e-05	2.04001860e-05
4               	-6.77964062e-01	-6.52213256e-05	4.28719251e-06	-1.85859100e-10	2.04350742e-05	-2.54710370e-05	-3.38982031e-01	-3.38982031e-01	-5.80816998e-05	-7.13962583e-06	2.25786704e-05	-1.82914779e-05
5               	-1.12880500e+00	-2.50669391e-04	4.69444056e-04	-3.43480297e-09	-1.11369400e-04	-7.26294629e-05	-5.64402505e-01	-5.64402498e-01	-1.97964158e-04	-5.27052326e-05	1.23352628e-04	3.46091428e-04
6               	-6.13449499e-01	-9.52213129e-05	2.17295223e-04	-2.12783528e-08	-4.63315340e-05	-1.65289544e-05	-3.06724771e-01	-3.06724728e-01	-6.41396109e-05	-3.10817020e-05	6.23160777e-05	1.54979146e-04
7               	1.54147036e-01	4.91088228e-05	-2.19114732e-04	-7.91888936e-09	5.66247512e-05	2.25827794e-05	7.70735099e-02	7.70735258e-02	4.71371908e-05	1.97163203e-06	-5.29326150e-05	-1.66182117e-04
8               	6.38540448e-01	1.76539845e-04	-5.49625134e-04	1.48855204e-08	1.56831505e-04	6.41479361e-05	3.19270239e-01	3.19270209e-01	1.52417859e-04	2.41219862e-05	-1.17981062e-04	-4.31644072e-04
9               	5.93023679e-01	3.57548631e-04	-2.80251619e-04	9.73353997e-09	8.12987858e-05	1.07410495e-04	2.96511849e-01	2.96511830e-01	2.86184810e-04	7.13638208e-05	-5.88270238e-05	-2.21424595e-04
10              	2.05059775e-01	2.48766149e-04	1.43802174e-04	1.24326933e-08	-3.83778053e-05	7.00611207e-05	1.02529900e-01	1.02529875e-01	1.94444195e-04	5.43219536e-05	3.35232816e-05	1.10278892e-04
11              	-1.48444830e-01	1.18349886e-06	4.57259138e-04	1.07602458e-08	-1.26359462e-04	-3.77237665e-06	-7.42224041e-02	-7.42224257e-02	-3.18062722e-06	4.36412608e-06	1.02270107e-04	3.54989031e-04
12              	-2.43724595e-01	-1.65219681e-04	1.85839882e-04	7.02970322e-09	-4.31876138e-05	-3.51607365e-05	-1.21862290e-01	-1.21862304e-01	-1.17770577e-04	-4.74491038e-05	4.97323273e-05	1.36107555e-04
13              	-1.07909821e-01	-1.04446275e-04	-1.59770238e-04	4.46699858e-09	5.46189554e-05	-7.70314341e-06	-5.39549058e-02	-5.39549148e-02	-5.99262808e-05	-4.45199940e-05	-2.52661635e-05	-1.34504074e-04
14              	9.36967935e-02	5.63205819e-05	-3.97895250e-04	3.58022099e-09	1.15798502e-04	3.26191437e-05	4.68484003e-02	4.68483932e-02	6.07794347e-05	-4.45885279e-06	-8.31491235e-05	-3.14746127e-04
15              	2.04831682e-01	1.62448066e-04	-3.60655079e-04	4.96860511e-09	9.84348318e-05	4.68812930e-05	1.02415846e-01	1.02415836e-01	1.28105326e-04	3.43427400e-05	-8.18927077e-05	-2.78762371e-04
16              	1.80657818e-01	1.65571561e-04	-2.02186928e-04	7.11164388e-09	4.99757002e-05	3.46874478e-05	9.03289161e-02	9.03289019e-02	1.17473228e-04	4.80983326e-05	-5.11177636e-05	-1.51069164e-04
17              	8.47402518e-02	7.35445372e-05	-1.10659862e-04	8.74640297e-09	3.44824949e-05	7.55618200e-06	4.23701346e-02	4.23701171e-02	4.43284506e-05	2.92160866e-05	-2.08474359e-05	-8.98124257e-05
18              	4.71101349e-03	-2.89347575e-05	-1.87676309e-04	5.13805392e-09	8.31062873e-05	-1.23579038e-05	2.35551188e-03	2.35550161e-03	-2.68252825e-05	-2.10947496e-06	-1.07318671e-05	-1.76944442e-04
19              	-1.24784518e-02	-5.73699584e-05	-3.11615105e-04	9.94940881e-10	1.37812814e-04	-7.86652543e-06	-6.23922493e-03	-6.23922692e-03	-3.65515046e-05	-2.08184538e-05	-1.79947386e-05	-2.93620366e-04
20              	2.29378581e-02	-5.87431686e-06	-4.09535981e-04	-1.00486920e-09	1.72329128e-04	1.44449359e-05	1.14689281e-02	1.14689301e-02	1.15077775e-05	-1.73820943e-05	-3.24388622e-05	-3.77097119e-04
21              	6.80410637e-02	6.76538558e-05	-4.26917786e-04	-3.69026498e-10	1.69870740e-04	3.31639124e-05	3.40205315e-02	3.40205322e-02	6.69908403e-05	6.63015538e-07	-4.35881528e-05	-3.83329633e-04
22              	8.78131314e-02	1.23063808e-04	-3.97290089e-04	1.10931521e-09	1.50878857e-04	4.13671704e-05	4.39065668e-02	4.39065646e-02	1.02899074e-04	2.01647336e-05	-4.77661869e-05	-3.49523902e-04
23              	7.63778959e-02	1.29800322e-04	-3.63968084e-04	1.45082331e-10	1.36292815e-04	3.71847740e-05	3.81889481e-02	3.81889478e-02	1.02084935e-04	2.77153869e-05	-4.56912269e-05	-3.18276857e-04
24              	5.13446751e-02	9.64513459e-05	-3.49193281e-04	-2.09652911e-09	1.36901006e-04	2.88581107e-05	2.56723355e-02	2.56723397e-02	7.70837836e-05	1.93675623e-05	-3.76956349e-05	-3.11497646e-04
25              	3.37267155e-02	5.89543882e-05	-3.65014092e-04	-3.65069823e-09	1.51957360e-04	2.58646348e-05	1.68633541e-02	1.68633614e-02	5.53418289e-05	3.61255927e-06	-3.05496861e-05	-3.34464406e-04
26              	3.17050738e-02	4.80114176e-05	-4.01976952e-04	-3.62992851e-09	1.73178239e-04	3.23726852e-05	1.58525333e-02	1.58525405e-02	5.63783940e-05	-8.36697643e-06	-2.78102369e-05	-3.74166715e-04
27              	3.99719510e-02	6.64935281e-05	-4.32522934e-04	-4.83055516e-09	1.85908520e-04	4.28382118e-05	1.99859707e-02	1.99859804e-02	7.60849759e-05	-9.59144778e-06	-3.03529474e-05	-4.02169987e-04
28              	4.85659870e-02	9.34065307e-05	-4.39541781e-04	-5.44462882e-09	1.83154272e-04	4.88364258e-05	2.42829881e-02	2.42829989e-02	9.55396912e-05	-2.13316047e-06	-3.66166181e-05	-4.02925163e-04
29              	5.12981417e-02	1.10577166e-04	-4.26751810e-04	-5.44971264e-09	1.69224919e-04	4.70510437e-05	2.56490654e-02	2.56490763e-02	1.02339627e-04	8.23753924e-06	-4.41509855e-05	-3.82600824e-04
30              	4.84226719e-02	1.10273485e-04	-4.07576671e-04	-3.92938104e-09	1.53415818e-04	4.00784407e-05	2.42113320e-02	2.42113399e-02	9.52151830e-05	1.50583015e-05	-5.03725178e-05	-3.57204153e-04
31              	4.39225459e-02	9.84556861e-05	-3.92154323e-04	-2.30522372e-09	1.42746442e-04	3.38132705e-05	2.19612707e-02	2.19612753e-02	8.30411135e-05	1.54145726e-05	-5.33307194e-05	-3.38823604e-04
32              	4.14179031e-02	8.64846656e-05	-3.82152213e-04	-1.80572064e-09	1.38237961e-04	3.29122894e-05	2.07089498e-02	2.07089534e-02	7.61546222e-05	1.03300434e-05	-5.28381456e-05	-3.29314067e-04
33              	4.17882021e-02	8.37754795e-05	-3.83439393e-04	-1.52051407e-09	1.40609567e-04	3.72695561e-05	2.08940995e-02	2.08941026e-02	7.91572959e-05	4.61818362e-06	-5.11101302e-05	-3.32329263e-04
34              	4.35536334e-02	9.18466788e-05	-3.95826048e-04	-7.30175902e-10	1.46881766e-04	4.37284221e-05	2.17768160e-02	2.17768174e-02	8.96517615e-05	2.19491730e-06	-5.10312573e-05	-3.44794790e-04
35              	4.47669965e-02	1.08044616e-04	-4.24654983e-04	-5.13500945e-10	1.57574071e-04	4.94181687e-05	2.23834978e-02	2.23834988e-02	1.03440477e-04	4.60413956e-06	-5.47534205e-05	-3.69901562e-04
36              	4.45902343e-02	1.25505652e-04	-4.64570425e-04	-3.61419726e-10	1.71051116e-04	5.27288855e-05	2.22951168e-02	2.22951175e-02	1.15481712e-04	1.00239405e-05	-6.12340967e-05	-4.03336328e-04
37              	4.34806596e-02	1.39404513e-04	-5.10157121e-04	1.53840720e-10	1.86408507e-04	5.41919615e-05	2.17403299e-02	2.17403296e-02	1.23894218e-04	1.55102949e-05	-6.86700539e-05	-4.41487067e-04
38              	4.23926426e-02	1.47584456e-04	-5.53673999e-04	8.09311794e-10	2.02135457e-04	5.53331317e-05	2.11963221e-02	2.11963205e-02	1.29125360e-04	1.84590961e-05	-7.47015428e-05	-4.78972456e-04
39              	4.18914372e-02	1.52359483e-04	-5.91206658e-04	1.29071726e-09	2.17124948e-04	5.74740362e-05	2.09457199e-02	2.09457173e-02	1.33653778e-04	1.87057056e-05	-7.84783812e-05	-5.12728277e-04
