# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(2.32122053e+02 2.67771496e+00 4.42946463e-02)	(2.27438157e+02 2.67748319e+00 4.42888018e-02)	(4.68389525e+00 2.31764053e-04 5.84442197e-06)
2               	(2.31044019e+02 2.57312582e+00 2.42647665e-02)	(2.26226432e+02 2.57327298e+00 2.41472259e-02)	(4.81758642e+00 -1.47164030e-04 1.17540588e-04)
3               	(7.22627716e+01 8.03784121e-01 -2.87838357e-02)	(6.73294881e+01 8.04229585e-01 -2.89590678e-02)	(4.93328353e+00 -4.45463775e-04 1.75232089e-04)
4               	(-8.16141281e+01 -8.64232715e-01 -4.30820438e-02)	(-8.66327388e+01 -8.63566624e-01 -4.31899010e-02)	(5.01861069e+00 -6.66090601e-04 1.07857160e-04)
5               	(-1.25104873e+02 -1.32782098e+00 9.54914296e-04)	(-1.30190814e+02 -1.32713121e+00 9.72825748e-04)	(5.08594045e+00 -6.89765648e-04 -1.79114525e-05)
6               	(-6.32987267e+01 -6.60200420e-01 5.23905420e-02)	(-6.84575956e+01 -6.59820818e-01 5.25073218e-02)	(5.15886898e+00 -3.79602033e-04 -1.16779756e-04)
7               	(2.69224507e+01 2.94331035e-01 5.64296153e-02)	(2.16722014e+01 2.94246382e-01 5.65699357e-02)	(5.25024923e+00 8.46529669e-05 -1.40320385e-04)
8               	(7.37630048e+01 7.55265713e-01 8.02105824e-03)	(6.84091253e+01 7.54762186e-01 8.10975109e-03)	(5.35387949e+00 5.03527845e-04 -8.86928509e-05)
9               	(5.91280109e+01 5.38331291e-01 -5.04059120e-02)	(5.36758386e+01 5.37657678e-01 -5.03858087e-02)	(5.45217224e+00 6.73613147e-04 -2.01032693e-05)
10              	(1.35734590e+01 1.42117730e-02 -6.60157947e-02)	(8.04183894e+00 1.36242599e-02 -6.60297538e-02)	(5.53162010e+00 5.87513151e-04 1.39590639e-05)
11              	(-2.12184177e+01 -3.42546605e-01 -2.92651767e-02)	(-2.68101624e+01 -3.42932496e-01 -2.92662626e-02)	(5.59174470e+00 3.85891477e-04 1.08587906e-06)
12              	(-2.50419863e+01 -3.26544944e-01 2.39357673e-02)	(-3.06839441e+01 -3.26773132e-01 2.39709649e-02)	(5.64195789e+00 2.28187692e-04 -3.51975012e-05)
13              	(-5.70709582e+00 -6.06718388e-02 5.12770560e-02)	(-1.13995630e+01 -6.08677195e-02 5.13445483e-02)	(5.69246721e+00 1.95880778e-04 -6.74923162e-05)
14              	(1.57393096e+01 2.01417198e-01 3.57168787e-02)	(9.99208559e+00 2.01156403e-01 3.57967426e-02)	(5.74722400e+00 2.60794657e-04 -7.98639233e-05)
15              	(2.39703507e+01 2.76255387e-01 -2.89020558e-03)	(1.81671891e+01 2.75897453e-01 -2.81741021e-03)	(5.80316164e+00 3.57933552e-04 -7.27953629e-05)
16              	(1.79168480e+01 1.59650481e-01 -3.17844177e-02)	(1.20623940e+01 1.59244708e-01 -3.17252090e-02)	(5.85445399e+00 4.05773203e-04 -5.92086772e-05)
17              	(6.63158586e+00 -4.87307665e-03 -3.34128478e-02)	(7.34140147e-01 -5.24171079e-03 -3.33622316e-02)	(5.89744571e+00 3.68634144e-04 -5.06162195e-05)
18              	(-3.86645080e-01 -8.94705315e-02 -1.21360172e-02)	(-6.31917065e+00 -8.97445125e-02 -1.20855138e-02)	(5.93252557e+00 2.73980960e-04 -5.05033514e-05)
19              	(1.73281243e-01 -6.55729875e-02 1.14180717e-02)	(-5.78936030e+00 -6.57426222e-02 1.14744314e-02)	(5.96264155e+00 1.69634784e-04 -5.63596233e-05)
20              	(5.33508509e+00 1.94984073e-02 1.92355494e-02)	(-6.55419283e-01 1.94089969e-02 1.92978447e-02)	(5.99050438e+00 8.94104645e-05 -6.22952637e-05)
21              	(9.98768509e+00 9.02931005e-02 1.04288422e-02)	(3.97080669e+00 9.02532763e-02 1.04937110e-02)	(6.01687840e+00 3.98241873e-05 -6.48687758e-05)
22              	(1.11617781e+01 9.49183610e-02 -4.46096334e-03)	(5.12097712e+00 9.49111994e-02 -4.39761399e-03)	(6.04080101e+00 7.16160162e-06 -6.33493526e-05)
