# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(-6.77568655e-07 -6.04773882e-03 -1.34716839e+00)	(-6.57937533e-07 -6.04297259e-03 -1.34713170e+00)	(-1.96311219e-08 -4.76623223e-06 -3.66903836e-05)
2               	(-3.01165835e-06 -2.24659952e-02 -1.29225539e+00)	(-3.16752774e-06 -2.24310448e-02 -1.29254827e+00)	(1.55869398e-07 -3.49503633e-05 2.92878915e-04)
3               	(-6.01595587e-06 -3.18929265e-02 -3.97766644e-01)	(-6.43111372e-06 -3.18360237e-02 -3.98302136e-01)	(4.15157849e-07 -5.69028242e-05 5.35492204e-04)
4               	(-6.71900896e-06 -2.14622208e-02 4.54933412e-01)	(-7.08516168e-06 -2.14072725e-02 4.54299966e-01)	(3.66152714e-07 -5.49483108e-05 6.33445406e-04)
5               	(-4.10414978e-06 3.68417456e-03 7.04902006e-01)	(-4.59226860e-06 3.71916265e-03 7.04344881e-01)	(4.88118821e-07 -3.49880882e-05 5.57125270e-04)
6               	(-5.71790514e-07 2.70710193e-02 3.71500949e-01)	(-1.05562836e-06 2.70919948e-02 3.71194986e-01)	(4.83837849e-07 -2.09755209e-05 3.05962997e-04)
7               	(1.46035152e-06 2.81129561e-02 -1.21261354e-01)	(9.47102034e-07 2.81399374e-02 -1.21305267e-01)	(5.13249488e-07 -2.69813732e-05 4.39136754e-05)
8               	(6.30779030e-07 8.07814935e-03 -3.75182155e-01)	(2.44090038e-08 8.12464133e-03 -3.75064337e-01)	(6.06370026e-07 -4.64919774e-05 -1.17817616e-04)
9               	(-2.01815361e-06 -1.58628356e-02 -2.81554046e-01)	(-2.68186466e-06 -1.57995512e-02 -2.81430361e-01)	(6.63711047e-07 -6.32844171e-05 -1.23684645e-04)
10              	(-4.15579466e-06 -2.37328961e-02 -1.32748206e-02)	(-4.77912608e-06 -2.36678631e-02 -1.32514665e-02)	(6.23331425e-07 -6.50329878e-05 -2.33540846e-05)
11              	(-4.27546916e-06 -1.28847124e-02 1.89378516e-01)	(-4.90705614e-06 -1.28321970e-02 1.89290661e-01)	(6.31586981e-07 -5.25154876e-05 8.78550252e-05)
12              	(-2.95607340e-06 5.33412666e-03 2.05388864e-01)	(-3.60297986e-06 5.36899033e-03 2.05247718e-01)	(6.46906461e-07 -3.48636716e-05 1.41146286e-04)
13              	(-1.33513080e-06 1.53783472e-02 8.03187510e-02)	(-2.00511195e-06 1.54026134e-02 8.01940449e-02)	(6.69981154e-07 -2.42661493e-05 1.24706087e-04)
14              	(-5.22700197e-07 1.15652119e-02 -6.17038479e-02)	(-1.25874588e-06 1.15895489e-02 -6.17812356e-02)	(7.36045679e-07 -2.43369599e-05 7.73876806e-05)
15              	(-7.66198567e-07 -9.44706362e-05 -1.19339614e-01)	(-1.53973803e-06 -6.39174170e-05 -1.19375878e-01)	(7.73539459e-07 -3.05532192e-05 3.62636021e-05)
16              	(-1.39044164e-06 -8.45129340e-03 -7.62147164e-02)	(-2.19489263e-06 -8.41604894e-03 -7.62459477e-02)	(8.04450993e-07 -3.52444612e-05 3.12312419e-05)
17              	(-1.71029108e-06 -8.56833026e-03 5.09995638e-03)	(-2.51117311e-06 -8.53473224e-03 5.03317686e-03)	(8.00882030e-07 -3.35980275e-05 6.67795195e-05)
18              	(-1.49618946e-06 -2.17638346e-03 5.81447322e-02)	(-2.26669295e-06 -2.15006494e-03 5.80228666e-02)	(7.70503492e-07 -2.63185259e-05 1.21865612e-04)
19              	(-1.00694753e-06 4.15788780e-03 5.91068367e-02)	(-1.73850582e-06 4.17592748e-03 5.89322643e-02)	(7.31558299e-07 -1.80396799e-05 1.74572374e-04)
20              	(-6.52646097e-07 5.20524109e-03 2.19064280e-02)	(-1.33908960e-06 5.21791462e-03 2.16917483e-02)	(6.86443506e-07 -1.26735291e-05 2.14679673e-04)
21              	(-6.22916337e-07 1.41723734e-03 -1.71704027e-02)	(-1.27023787e-06 1.42872613e-03 -1.74142387e-02)	(6.47321533e-07 -1.14887945e-05 2.43835923e-04)
22              	(-8.69509230e-07 -3.16879183e-03 -2.83145283e-02)	(-1.46824762e-06 -3.15646058e-03 -2.85836020e-02)	(5.98738395e-07 -1.23312446e-05 2.69073728e-04)
