a,c,n,t,Y
3.866282610614354098e+02,1.819675454671791499e+02,4.135710837167902554e+01,3.413095551307868192e+01,7.667747600000000219e+00
5.612231674726226061e+01,2.595870784620818768e+02,3.686015756637083030e+01,3.762425104404130138e+01,9.271973700000000207e+00
4.011086717408765026e+02,4.173148115508456613e+02,4.297921367433686157e+01,4.837391269116167081e+01,7.800743299999999714e+00
1.796735897629413330e+02,4.592523522992916014e+02,2.890619851778517813e+01,4.638807273109967610e+01,8.155831100000000333e+00
8.838977628526635044e+01,7.873096073578459198e+01,4.953444563752861995e+01,2.896570083880324731e+01,1.566222199999999987e+01
5.346950085257208229e+02,1.982052660495136251e+02,3.452403996029248390e+01,2.002406561137732410e+01,7.181530600000000319e+00
4.912043719604028524e+02,3.505253238179738560e+02,2.126147446560156240e+01,1.353792211458458716e+01,6.138760600000000345e+00
3.332483779715029755e+02,5.034318154304746145e+02,1.478239095490182820e+01,4.734039168050483681e+01,7.949474999999999625e+00
2.719327976837549272e+02,3.877371776934760987e+02,4.115629278725813123e+01,1.407952997923639415e+01,6.833803299999999581e+00
2.159007626446576467e+02,5.364654221648136172e+02,3.752763765818666286e+01,1.590873547702708990e+01,6.699668899999999816e+00
1.098773570508801178e+01,3.206861805262240637e+02,3.180468212320823085e+01,5.336120848069778155e+00,3.162890499999999960e+01
2.524965553630536874e+02,3.975593772632555556e+02,3.075729462434903638e+01,2.598376734809693289e+01,6.855903699999999823e+00
5.605995688992468331e+02,2.752149597429445294e+02,2.530863967796369352e+01,9.401518465829287408e+00,6.448182899999999940e+00
5.156401432167344865e+02,1.529791503596799487e+02,3.929028933634242549e+01,1.135179489368572803e+01,8.763684100000000754e+00
5.677179451790866551e+02,4.441675368013821412e+02,3.260661584842330285e+01,2.092776076425993992e+01,5.954257400000000366e+00
4.684178494496908911e+02,4.098968283603506961e+02,1.392277504955427858e+01,3.920714312508621902e+01,6.470260200000000239e+00
1.498364040325892859e+02,2.960741486847243777e+02,3.575483319022900019e+01,2.359439819908523361e+01,7.665329999999999977e+00
4.731199952529053121e+02,3.670145025469518032e+02,3.095877932725836246e+01,1.474013198393809176e+01,6.237968699999999700e+00
4.245196410560359368e+02,3.404356403867507765e+02,3.856861976045644269e+01,1.784095929459978436e+01,6.521529400000000365e+00
3.230292308077367807e+02,3.120569259503538433e+02,1.909415884435069444e+01,6.827079387161817614e+00,6.628496700000000352e+00
1.928669395417583132e+02,1.181915908606254959e+02,3.331891212705284033e+01,4.044583552788237313e+01,9.958913300000000746e+00
3.379326190174796807e+01,1.632258172184966156e+02,4.011806819126540802e+01,4.301829867519282402e+01,1.132255600000000051e+01
3.060097328222895499e+02,5.689518545594222587e+02,1.481268726783669010e+01,2.681997303796786980e+01,6.304678299999999957e+00
4.574195192501530869e+02,9.566372739855762575e+01,4.608002294459112846e+01,4.892728090604931523e+00,1.448262000000000072e+01
3.415258433877160087e+02,4.805257949379223419e+02,2.329920306713853506e+01,1.675468906955723813e+00,5.961096999999999646e+00
5.189616942242773803e+02,2.231379822202675598e+02,4.833703193611348325e+01,2.954855031112311892e+01,7.049125400000000319e+00
2.870845456478807023e+02,3.999759750288761495e+01,4.407184790004576058e+01,2.539890065421026932e+01,1.837965499999999963e+01
1.650150354204200198e+02,2.804585794765509377e+02,1.998699678350216047e+01,7.963848623065537424e+00,7.373132700000000206e+00
2.683827936614333112e+02,3.751877158966851198e+02,1.726816947340553554e+01,2.806132237365465443e+01,6.690928500000000057e+00
2.368233641446890374e+02,1.045399035045894891e+02,1.852012622343545445e+01,2.032775570765664064e+00,1.260065099999999916e+01
2.331449624930754396e+02,2.437588682997902083e+02,2.671571245962844898e+01,4.911943692378227411e+01,7.686532099999999978e+00
5.427202940872952013e+02,2.258773613901735473e+02,4.267464970070237484e+01,2.253643432089586440e+01,6.966448100000000032e+00
9.965531332280473009e+01,7.521323803890710735e+01,1.614123954257589588e+01,3.539731764864631458e+01,1.568771800000000027e+01
1.363281805657251198e+02,1.694349526909698511e+01,2.439533700296752983e+01,4.319276857296313210e+01,1.812033800000000028e+01
4.362005525731957505e+02,4.867955817829813441e+02,2.095358251989664922e+01,3.972963870161028410e+01,6.774541199999999819e+00
5.007508870252971178e+02,5.431749190531014619e+02,1.309087227227773553e+01,3.240406672019162215e+01,6.071133699999999855e+00
7.348926438091106661e+01,1.347715954210622158e+02,4.524373523616967674e+01,4.439246620385420528e+01,1.022042500000000054e+01
1.783112996547597788e+02,2.376295720933693190e+01,4.854773772558228728e+01,3.222543292753152855e+01,1.892171300000000045e+01
5.154684405323343555e+01,6.430929184268921972e+01,2.922236452247695482e+01,1.237387266143471720e+01,1.823262799999999828e+01
3.776939885205866858e+02,2.038473966254007337e+02,1.664001404895065406e+01,4.152628865638306621e+01,7.181605600000000145e+00
2.068651849350540601e+02,5.245324974435030754e+02,2.235202280347640169e+01,7.838166367636990373e+00,6.227893400000000135e+00
3.672892298492993746e+02,1.277041514701706575e+02,2.728684677572729100e+01,3.689987096786246212e+01,9.083517900000000367e+00
2.990837920190069781e+02,4.642544546368369396e+01,2.509399708071764934e+01,3.102843935960782318e+01,1.739244000000000057e+01
1.219135845965215452e+02,5.600226569674787243e+02,4.458245727619571142e+01,1.926194778839997568e+01,7.558046199999999715e+00
1.051656350209337631e+02,4.685094060128530487e+02,3.524759072490436296e+01,2.345837220710551563e+01,7.587859899999999769e+00
4.133227920199784649e+02,1.730809393730230568e+02,1.096734096758508059e+01,9.919556316646183092e+00,7.703282800000000208e+00
1.239333570151695056e+02,4.361075621607085395e+02,4.748095681292399917e+01,1.743114117141295694e+01,7.754989499999999758e+00
3.540063301313992383e+02,3.330453585950351680e+02,1.178762080255279976e+01,3.098379198868531859e+00,6.350099400000000394e+00
2.219669639710794939e+01,5.091619192743524991e+02,1.033220003501611473e+01,4.511081743836672331e+01,2.996178099999999844e+01
4.463606495831857046e+02,2.504101555704980626e+02,2.816648891563734480e+01,3.440598901321520486e+01,6.833192699999999675e+00
