a,c,n,t,Y
3.743210789553866391e+01,1.727687384616668851e+02,3.883865387324919283e+01,2.059196245881540044e+00,1.297521700000000067e+01
1.259345168455681687e+02,3.858534351949714392e+01,2.209087575858467289e+01,3.353160443661030143e+01,1.865666099999999972e+01
1.834684033923627737e+02,3.385618885110711176e+02,1.278283818450402265e+01,4.350281971566133166e+01,7.451008500000000367e+00
8.501441233873397607e+01,1.102841844579975685e+02,2.983718199304622942e+01,4.332128258335295357e+01,1.129560299999999984e+01
4.372853793933203406e+02,5.563831255715757607e+02,4.037210211142210881e+01,1.982825157241634173e+01,2.200000000000000000e+03
2.401084194768214104e+02,4.116219208989615481e+02,2.082679090692534984e+01,4.285104072757585669e+01,7.347427200000000269e+00
5.241113148914465683e+02,4.383056672211732803e+02,3.066674151032264817e+01,9.223952495853859901e+00,5.896250000000000213e+00
1.781637601757913671e+02,1.698599343522468530e+02,2.308850306470923641e+01,2.354687635585582584e+01,8.294445700000000699e+00
3.164793863746500051e+02,1.323966896747234614e+02,4.199473307755906148e+01,3.660753801553023834e+01,9.433654799999999341e+00
4.881517976392551077e+02,1.606147759797067067e+02,3.459298844593738664e+01,3.298504758650546620e+01,7.797520399999999796e+00
2.277776524176027806e+02,2.410294025364969457e+02,4.240630197970548920e+01,3.041809400372460814e+01,7.688564600000000304e+00
5.157656106231829654e+02,2.858881427025971220e+02,4.313272528865127242e+01,4.308558408724370281e+01,6.913668499999999995e+00
4.538946158699353646e+02,5.097500111476552433e+02,3.795443155809952884e+01,2.326512507292673249e+01,6.195277299999999876e+00
1.822302377761256480e+02,4.717075199732968258e+02,1.558658621696079827e+01,2.066352842555374281e+01,6.597809699999999999e+00
1.401725333114089835e+02,3.424277208749097099e+02,4.545072231740583391e+01,1.705933793021364409e+01,7.862630700000000417e+00
4.629952340870617604e+02,4.589659486204735686e+02,3.662774591096778920e+01,1.296151233941590064e+01,6.018495500000000220e+00
4.712975663598193705e+02,2.732594702222891101e+02,3.956434907936357348e+01,2.357167694780427780e+01,6.755223400000000211e+00
4.964802770095844835e+02,4.053184963983157445e+02,1.671900293731827603e+01,9.783077183133261912e+00,5.832385399999999720e+00
4.884965310737011350e+02,2.155581949720377679e+02,2.524140557643507066e+01,3.019167023040898457e+00,7.149050700000000091e+00
3.670338123030002180e+02,4.627524067966084544e+02,4.589251590564017391e+01,1.054341064390907512e+01,6.236008199999999668e+00
4.926837489073533334e+02,1.094987438173982639e+02,2.494084394601386379e+01,1.973165929179555533e+01,1.091582599999999914e+01
3.312731473947394534e+02,2.977699714126858908e+02,3.116309234971179265e+01,2.663693225153760835e+01,6.846922700000000361e+00
5.346470649248627751e+02,1.488222508459088544e+02,1.833212204012032132e+01,4.098548911443189979e+01,7.827997700000000059e+00
1.810771180247447205e+02,3.902459160839462129e+02,4.694632192976789753e+01,4.428501565116784278e+00,7.293373899999999743e+00
4.501361961852060745e+02,2.976298281798583645e+01,3.036318650557844734e+01,2.250079199780572736e+01,1.842896500000000160e+01
3.987637637804978112e+02,4.487158522682307762e+02,1.188916520022503143e+01,4.653498857351628715e+00,5.777141000000000304e+00
3.505274754021236845e+02,4.110530515050252802e+02,1.603098192686508838e+01,3.112341515053851992e+01,6.426404699999999970e+00
9.492910625302759797e+01,2.699552394377456608e+02,4.921053115389036492e+01,4.233243873253353939e+01,8.658489700000000511e+00
3.995480231402921731e+02,2.705557963669843389e+02,4.667094482264053568e+01,3.689580687810553172e+01,7.049850199999999845e+00
1.118258200266909341e+01,3.888591677368786463e+02,3.314984162471999696e+01,2.447127075422810449e+01,2.908234799999999964e+01
2.555350744174116073e+02,2.145432233942397033e+02,2.136573088726072100e+01,3.882924952598534674e+01,7.436644300000000207e+00
4.130059481552231091e+02,1.016738050023778328e+02,4.042831091976694324e+01,3.950558026325592209e+01,1.105167600000000050e+01
4.258355140371378980e+02,1.388152650286042160e+02,2.320845925386732489e+01,1.453047882190693052e+01,2.200000000000000000e+03
5.153479036899302628e+02,5.308440196462642007e+02,3.474302260916218188e+01,7.825875599534285243e+00,5.665237399999999646e+00
8.742886945953459588e+01,2.159836791443277377e+02,1.461878150954410671e+01,2.607980127273013338e+01,8.566625800000000623e+00
1.560175189213228748e+02,7.219905331950030813e+01,1.752456212286105952e+01,1.687399914429498793e+01,1.631931399999999854e+01
3.846985376644235544e+02,1.856330138364414779e+02,3.095795018459299541e+01,1.735465244771496884e+01,7.636348299999999867e+00
5.973252881816858206e+01,5.970487995921941859e+01,2.009171500340972827e+01,1.169468831147420396e+01,1.939534599999999998e+01
4.529401363294270055e+01,4.478884906556990018e+02,2.984528525782050323e+01,1.443828042327531236e+01,9.291539200000000776e+00
4.659361506403965336e+02,2.001116554780342369e+02,1.782441566515785425e+01,1.775652771109904648e+01,7.080702600000000402e+00
3.887694230011158538e+02,1.693934317197680457e+02,2.062622641138083424e+01,4.417591750127905925e+01,7.585761699999999941e+00
3.135301501705557143e+02,4.287397710012274388e+02,4.591234029941343664e+01,1.442409351236546122e+01,6.652257099999999923e+00
3.103241978632057112e+02,8.498790781148089479e+01,4.847420763097889562e+01,4.081034045111542241e+01,1.273402399999999979e+01
3.767432660350190758e+02,1.238709446749124794e+02,4.883291211633033413e+01,2.741265876030235749e+00,1.053745600000000060e+01
2.482808693989512108e+02,5.417052186296373293e+02,2.276838983419707674e+01,3.906880055685961395e+01,7.326360700000000392e+00
5.589765708055564346e+02,4.051891744716808148e+02,2.210116292263606752e+01,4.846453133032331806e+01,7.261173499999999947e+00
2.327865276469774187e+02,5.455870026579019623e+02,1.517624150755087697e+01,4.691614435708329722e+01,8.269975900000000379e+00
