a,c,n,t,Y
1.114918348376210560e+02,2.096456095753264037e+01,2.852874105993378606e+01,3.652176253041524490e+01,1.877901299999999907e+01
2.465746293828905493e+02,2.832954562684614643e+02,1.051123258362434498e+01,2.488120875867370785e+01,6.873624600000000306e+00
5.402371452693150786e+02,4.889976353191264025e+02,3.919857880883274248e+01,6.328067521579772148e+00,5.759121099999999771e+00
5.132680478705007090e+02,4.925778411020030489e+02,1.660346470380908457e+01,3.198436667735130712e+01,6.077054600000000306e+00
2.153227400146399617e+01,7.572308232314912857e+01,2.265469246450161478e+01,8.737703027071908934e+00,2.227449400000000068e+01
1.114918348376210560e+02,2.096456095753264037e+01,1.136002422907495735e+01,3.690860907905663169e+01,1.862008700000000161e+01
5.402371452693150786e+02,4.894231873440230629e+02,2.039011596558835038e+01,2.858076886048232179e+00,5.525142500000000290e+00
2.465746293828905493e+02,2.832954562684614643e+02,3.354247176861545654e+01,2.448592664930522034e+01,7.272538899999999806e+00
5.132680478705007090e+02,4.921522890387980169e+02,3.872534649711227672e+01,3.401014473582944220e+01,6.493742100000000406e+00
5.585549234105800451e+02,2.096456095753264037e+01,2.852874105993378606e+01,3.988460837503656364e+01,1.713710100000000125e+01
5.402371452693150786e+02,4.889976353191264025e+02,2.211577608208778045e+01,6.328067521579772148e+00,5.565241399999999672e+00
5.403732580070951599e+02,4.921522890387980169e+02,2.836384511918740614e+01,3.401014473582944220e+01,6.318543000000000021e+00
4.479512391812272654e+02,4.432134066444406244e+02,3.747687835504687826e+01,6.217569687386476751e+00,6.032379999999999853e+00
5.131185403345150462e+02,4.894231873440230629e+02,3.615047745611458652e+01,2.858076886048232179e+00,5.734380200000000372e+00
4.513143166293143054e+02,5.252793372847219189e+02,3.872534649711227672e+01,3.401014473582944220e+01,6.602618900000000401e+00
5.402371452693150786e+02,3.668221055859669377e+02,2.211577608208778045e+01,6.328067521579772148e+00,6.000352000000000352e+00
5.048476870234383114e+02,4.894231873440230629e+02,2.039011596558835038e+01,2.858076886048232179e+00,5.568417799999999751e+00
5.086395585984738545e+02,4.894231873440230629e+02,3.615047745611458652e+01,6.404788182210389813e+00,5.790685700000000047e+00
5.478416088661956564e+02,4.889976353191264025e+02,2.211577608208778045e+01,2.797934270977968652e+00,5.519867800000000102e+00
5.410657062431827171e+02,5.010668537072855315e+02,3.395940437633355202e+01,2.785845906281117834e+00,5.636064000000000185e+00
5.478416088661956564e+02,4.889976353191264025e+02,1.443630048708023139e+01,2.697156181946113840e+00,5.381125299999999889e+00
5.402371452693150786e+02,4.889976353191264025e+02,2.211577608208778045e+01,6.760769556362665966e+00,5.566119200000000156e+00
5.033080301877678266e+02,4.894231873440230629e+02,2.039011596558835038e+01,2.858076886048232179e+00,5.578937700000000000e+00
5.602827594930764690e+02,4.889976353191264025e+02,2.211577608208778045e+01,6.451183824508496478e+00,5.535451199999999794e+00
5.478416088661956564e+02,4.889976353191264025e+02,2.160426083868262737e+01,2.424066232950900179e+00,5.507198500000000330e+00
5.372479618406806594e+02,4.889544328723336548e+02,1.443630048708023139e+01,1.837424358964060200e+00,5.385979899999999709e+00
5.478416088661956564e+02,4.889976353191264025e+02,2.188080275330147018e+01,2.092861384281882842e+00,5.523198800000000297e+00
5.536071961761364264e+02,4.889976353191264025e+02,1.443630048708023139e+01,1.446098380758149116e+00,5.364727300000000199e+00
5.547743412816598720e+02,4.894663897908115473e+02,2.039011596558835038e+01,2.858076886048232179e+00,5.488371700000000075e+00
3.522539250933862718e+02,4.889976353191264025e+02,1.443630048708023139e+01,2.697156181946113840e+00,5.778092000000000006e+00
5.354393012672211398e+02,4.889645764672978885e+02,1.443630048708023139e+01,1.837424358964060200e+00,5.383462899999999607e+00
5.480667632530056608e+02,4.889976353191264025e+02,1.443630048708023139e+01,2.697156181946113840e+00,5.381939700000000215e+00
5.547743412816598720e+02,4.850341562959922612e+02,2.671662985218214104e+01,2.858076886048232179e+00,5.588871100000000425e+00
5.553827999805200761e+02,4.889874917241621688e+02,1.701229696344695697e+01,3.816917794859918445e+00,5.427191200000000215e+00
5.231229588149553820e+02,3.675742515708545852e+02,1.443630048708023139e+01,1.446098380758149116e+00,5.851957800000000098e+00
5.536071961761364264e+02,4.889976353191264025e+02,1.443630048708023139e+01,2.703797001841108383e+00,5.359417699999999840e+00
5.498098660740262176e+02,4.889976353191264025e+02,1.376690247861058758e+01,2.697156181946113840e+00,5.353633999999999560e+00
5.536071961761364264e+02,4.889976353191264025e+02,1.043401671919935580e+01,1.446098380758149116e+00,5.245739300000000327e+00
5.478416088661956564e+02,4.889976353191264025e+02,1.443630048708023139e+01,1.449104825977452604e+00,5.386916000000000260e+00
5.608390932326282154e+02,4.889976353191264025e+02,1.443630048708023139e+01,1.446098380758149116e+00,5.358604800000000168e+00
5.565803172406809836e+02,4.889976353191264025e+02,1.311561723052367867e+01,7.804871181044033435e+00,5.367964399999999969e+00
4.835774971062394911e+02,4.889976353191264025e+02,1.376690247861058758e+01,2.697156181946113840e+00,5.503275600000000267e+00
5.536071961761364264e+02,4.889976353191264025e+02,1.082111257182673825e+01,6.716445252487449835e+00,5.300034899999999993e+00
5.498098660740262176e+02,4.889976353191264025e+02,1.033465787670292890e+01,1.510714115551812897e+00,5.249525600000000125e+00
5.536071961761364264e+02,4.889976353191264025e+02,1.408707920644327771e+01,7.249720252885568428e+00,5.386011500000000396e+00
5.498098660740262176e+02,4.889976353191264025e+02,1.030477409908813158e+01,7.978486879468125181e+00,5.300722000000000378e+00
5.536071961761364264e+02,4.889976353191264025e+02,1.059138891537320504e+01,7.730670252956119981e+00,5.297583699999999673e+00
5.536071961761364264e+02,4.889976353191264025e+02,1.045638071978557093e+01,7.443303316100205791e+00,5.287226600000000332e+00
5.619956235239635589e+02,4.889976353191264025e+02,1.017679200073617096e+01,1.304909108906416648e+00,5.238283199999999695e+00
5.498098660740262176e+02,4.889976353191264025e+02,2.605001467373917023e+01,5.535468124577950455e+00,5.626414800000000049e+00
4.626086548557096876e+02,4.889976353191264025e+02,1.022883204134326363e+01,1.299641595056114429e+00,5.426670099999999941e+00
5.536071961761364264e+02,4.514878758244924484e+02,1.006771557103846249e+01,1.617853591937623392e+01,5.486768900000000393e+00
5.670041497839039266e+02,4.889976353191264025e+02,1.018226328421988214e+01,1.304909108906416648e+00,5.215572599999999781e+00
5.630803551590354346e+02,4.889976353191264025e+02,1.011369036104764341e+01,1.516060977878756599e+00,5.242150900000000391e+00
5.536071961761364264e+02,4.889976353191264025e+02,1.043707408549339988e+01,6.404039011419846439e+00,5.278868300000000069e+00
5.581951150612807169e+02,4.889976353191264025e+02,1.017679200073617096e+01,1.304909108906416648e+00,5.240700799999999937e+00
5.618196514224688372e+02,4.889976353191264025e+02,1.017681250496257839e+01,1.304909108906416648e+00,5.242792500000000189e+00
5.630803551590354346e+02,4.512765344103860343e+02,1.001942145270086471e+01,1.504047206682628701e+00,5.360746800000000256e+00
5.707767628021073278e+02,4.889976353191264025e+02,1.018226328421988214e+01,2.885404921858187777e+01,5.660302899999999582e+00
