a,c,n,t,Y
3.990925720990667003e+01,5.363863907584985782e+02,2.881356828082175525e+01,6.910786151696830082e+00,9.858721100000000348e+00
2.574277536121106635e+01,5.096521347693876578e+02,1.933903578226760800e+01,3.127484778400013710e+01,1.083189199999999985e+01
3.116547923264917586e+02,4.225045906521531833e+02,3.529179473523774391e+01,2.654225617541555948e+00,6.361401400000000095e+00
1.555768756232748729e+02,4.731861428178808637e+02,2.596326021114025551e+01,1.878313235514563218e+01,6.832552599999999643e+00
2.210639206075458105e+02,1.851241555304158908e+02,2.301087272902588055e+01,3.698844750518399138e+01,7.849060099999999984e+00
2.678740312415570202e+02,4.555203376117084417e+02,4.144344686046126469e+01,4.391383768773361140e+01,7.740676200000000229e+00
1.265446261150179481e+02,4.008567815848109603e+02,4.732262305924795953e+01,2.419601156118847030e+01,7.886754700000000007e+00
5.257544599167429169e+02,1.477887869509183361e+02,1.448943273455211056e+01,4.863554331591488022e+01,7.661121200000000186e+00
5.021423851608546443e+02,2.526284965039280905e+02,4.337070575973928754e+01,3.718263679067233429e+00,6.897983100000000256e+00
6.647519238670409436e+01,2.865677015571455968e+02,4.557699764372775064e+01,3.856576646928029817e+01,9.096960799999999736e+00
4.670275544087257344e+02,9.943351256310478448e+01,3.939510892355174576e+01,2.988770425118726592e+01,1.119964799999999983e+01
4.302071757768279667e+02,3.653562466859357869e+02,1.687503052842766849e+01,2.581224919487458180e+01,6.226977100000000043e+00
3.468697996600572537e+02,3.171262029109024070e+02,3.069370975027176840e+01,4.100526340587357055e+01,7.076622999999999664e+00
1.191056985010434204e+02,3.450873054438648069e+02,2.194404737399917593e+01,1.166060151751243801e+01,7.373521900000000073e+00
2.554720316009506860e+02,2.284160484047930595e+02,2.667090201444122854e+01,2.275354885642357772e+01,7.390768399999999794e+00
3.889999668594132345e+02,3.559046570713893232e+01,4.986850118244906582e+01,3.366209372616508944e+01,1.819824500000000000e+01
