# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.10719220e+00
# Aref          : 2.14266576e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	4.30971482e+00	-1.56437296e-02	-3.44963163e-02	-1.55097129e-08	1.68839450e-02	-7.94319183e-03	2.15485739e+00	2.15485743e+00	-1.57650567e-02	1.21327004e-04	-3.64213191e-04	-3.41321031e-02
2               	4.10658894e+00	-1.13818613e-02	-2.71998126e-02	3.35532984e-09	1.44443071e-02	-5.55873253e-03	2.05329447e+00	2.05329447e+00	-1.12496632e-02	-1.32198135e-04	8.44400751e-04	-2.80442134e-02
3               	1.39692677e+00	2.46251121e-04	-2.36315215e-03	3.93417669e-08	2.45963027e-03	4.66982787e-04	6.98463423e-01	6.98463344e-01	5.90108347e-04	-3.43857226e-04	1.27805419e-03	-3.64120634e-03
4               	-1.10555587e+00	8.38872396e-03	1.62652634e-02	4.59713552e-08	-7.63843391e-03	4.49401407e-03	-5.52777888e-01	-5.52777980e-01	8.68837605e-03	-2.99652086e-04	4.94197767e-04	1.57710656e-02
5               	-1.76211733e+00	8.33617035e-03	1.76789129e-02	2.50642529e-08	-9.30533573e-03	4.10737323e-03	-8.81058642e-01	-8.81058692e-01	8.27545840e-03	6.07119481e-05	-4.65879253e-04	1.81447922e-02
6               	-7.22301104e-01	2.35053688e-03	6.73246940e-03	1.57668725e-09	-4.11782298e-03	8.45886684e-04	-3.61150550e-01	-3.61150553e-01	2.02115512e-03	3.29381753e-04	-7.51588274e-04	7.48405768e-03
7               	7.65215859e-01	-3.45548456e-03	-5.72595050e-03	-2.54057942e-09	2.47521638e-03	-2.15789104e-03	3.82607927e-01	3.82607932e-01	-3.88563332e-03	4.30148761e-04	-3.87758868e-04	-5.33819163e-03
8               	1.53385783e+00	-4.96124315e-03	-1.01939019e-02	1.64320543e-08	5.17047303e-03	-2.73626550e-03	7.66928931e-01	7.66928899e-01	-5.21688707e-03	2.55643923e-04	7.35220659e-05	-1.02674240e-02
9               	1.30428373e+00	-2.06169511e-03	-5.74298672e-03	4.83665836e-08	3.16318177e-03	-1.08437822e-03	6.52141913e-01	6.52141817e-01	-2.11522577e-03	5.35306603e-05	2.91688409e-04	-6.03467513e-03
10              	5.80437324e-01	1.74163558e-03	1.53035881e-03	7.24599078e-08	-6.69870237e-04	9.43408034e-04	2.90218734e-01	2.90218590e-01	1.81422582e-03	-7.25902442e-05	9.53091695e-05	1.43504964e-03
