# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.10719220e+00
# Aref          : 5.38705787e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	1.71415986e-01	-6.22218744e-04	-1.37206760e-03	-6.16888321e-10	6.71547467e-04	-3.15935071e-04	8.57079924e-02	8.57079936e-02	-6.27044443e-04	4.82569935e-06	-1.44863328e-05	-1.35758127e-03
2               	1.63336792e-01	-4.52705820e-04	-1.08185411e-03	1.33455970e-10	5.74512524e-04	-2.21094819e-04	8.16683960e-02	8.16683957e-02	-4.47447729e-04	-5.25809124e-06	3.35854676e-05	-1.11543958e-03
3               	5.55618154e-02	9.79447142e-06	-9.39927750e-05	1.56479212e-09	9.78301269e-05	1.85739238e-05	2.77809093e-02	2.77809061e-02	2.34711595e-05	-1.36766881e-05	5.08337393e-05	-1.44826514e-04
4               	-4.39727354e-02	3.33655810e-04	6.46939826e-04	1.82847950e-09	-3.03813532e-04	1.78746364e-04	-2.19863659e-02	-2.19863695e-02	3.45574269e-04	-1.19184586e-05	1.96563812e-05	6.27283445e-04
5               	-7.00870226e-02	3.31565526e-04	7.03166780e-04	9.96913671e-10	-3.70113422e-04	1.63367986e-04	-3.50435103e-02	-3.50435123e-02	3.29150749e-04	2.41477659e-06	-1.85300315e-05	7.21696812e-04
6               	-2.87290369e-02	9.34910111e-05	2.67779407e-04	6.27116666e-11	-1.63783618e-04	3.36445696e-05	-1.43645184e-02	-1.43645185e-02	8.03900751e-05	1.31009360e-05	-2.98939142e-05	2.97673322e-04
7               	3.04359422e-02	-1.37439556e-04	-2.27745800e-04	-1.01049824e-10	9.84500539e-05	-8.58286536e-05	1.52179710e-02	1.52179712e-02	-1.54548432e-04	1.71088754e-05	-1.54228462e-05	-2.12322954e-04
8               	6.10081556e-02	-1.97330084e-04	-4.05455540e-04	6.53573821e-10	2.05652060e-04	-1.08833106e-04	3.05040784e-02	3.05040771e-02	-2.07498148e-04	1.01680638e-05	2.92429034e-06	-4.08379831e-04
9               	5.18770014e-02	-8.20025257e-05	-2.28423404e-04	1.92374808e-09	1.25813411e-04	-4.31304086e-05	2.59385026e-02	2.59384988e-02	-8.41316714e-05	2.12914573e-06	1.16017088e-05	-2.40025113e-04
10              	2.30865012e-02	6.92723748e-05	6.08689846e-05	2.88204372e-09	-2.66436347e-05	3.75234151e-05	1.15432535e-02	1.15432477e-02	7.21596025e-05	-2.88722777e-06	3.79085762e-06	5.70781269e-05
