# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(1.89672078e+01 -1.51819512e-01 6.88486090e-02)	(1.74440294e+01 -1.51785259e-01 6.88268328e-02)	(1.52317834e+00 -3.42521627e-05 2.17762688e-05)
2               	(1.80732436e+01 -1.19707340e-01 5.00919754e-02)	(1.65054779e+01 -1.19746397e-01 5.00839412e-02)	(1.56776569e+00 3.90572376e-05 8.03418601e-06)
3               	(6.14792425e+00 -1.04003164e-02 -1.08375992e-03)	(4.53836235e+00 -1.04922072e-02 -1.07740295e-03)	(1.60956190e+00 9.18907612e-05 -6.35696678e-06)
4               	(-4.86559059e+00 7.15840009e-02 -3.69190717e-02)	(-6.51287689e+00 7.14747286e-02 -3.69062628e-02)	(1.64728630e+00 1.09272329e-04 -1.28089265e-05)
5               	(-7.75514088e+00 7.78055229e-02 -3.66877814e-02)	(-9.43723947e+00 7.77068578e-02 -3.66736830e-02)	(1.68209859e+00 9.86651000e-05 -1.40984018e-05)
6               	(-3.17887278e+00 2.96298366e-02 -1.03447962e-02)	(-4.89507875e+00 2.95530914e-02 -1.03403690e-02)	(1.71620598e+00 7.67451849e-05 -4.42711155e-06)
7               	(3.36774214e+00 -2.52001112e-02 1.52077101e-02)	(1.61703752e+00 -2.52522178e-02 1.52001223e-02)	(1.75070462e+00 5.21065848e-05 7.58783246e-06)
8               	(6.75056271e+00 -4.48637239e-02 2.18346071e-02)	(4.96578357e+00 -4.48968834e-02 2.18218182e-02)	(1.78477914e+00 3.31595024e-05 1.27888497e-05)
9               	(5.74019895e+00 -2.52750882e-02 9.07359330e-03)	(3.92363554e+00 -2.53070315e-02 9.06569034e-03)	(1.81656341e+00 3.19432250e-05 7.90295914e-06)
10              	(2.55452525e+00 6.73516341e-03 -7.66499996e-03)	(7.09722353e-01 6.69102370e-03 -7.65957086e-03)	(1.84480290e+00 4.41397159e-05 -5.42909491e-06)
11              	(9.57019823e-02 2.52514850e-02 -1.40081352e-02)	(-1.77392402e+00 2.51904156e-02 -1.39892314e-02)	(1.86962600e+00 6.10694557e-05 -1.89037410e-05)
12              	(-2.35998706e-01 2.16328979e-02 -8.62321960e-03)	(-2.12809707e+00 2.15584576e-02 -8.59891126e-03)	(1.89209836e+00 7.44402446e-05 -2.43083398e-05)
13              	(1.06073836e+00 5.61089906e-03 1.35812387e-03)	(-8.52482082e-01 5.53344854e-03 1.37793734e-03)	(1.91322044e+00 7.74505219e-05 -1.98134645e-05)
14              	(2.56349412e+00 -7.84465724e-03 7.25775002e-03)	(6.30192475e-01 -7.91697742e-03 7.26780076e-03)	(1.93330165e+00 7.23201872e-05 -1.00507402e-05)
15              	(3.20908450e+00 -1.02628529e-02 5.82356012e-03)	(1.25712820e+00 -1.03274142e-02 5.82627238e-03)	(1.95195630e+00 6.45612892e-05 -2.71226624e-06)
16              	(2.87881144e+00 -4.01817626e-03 1.53476912e-04)	(9.10209239e-01 -4.07867406e-03 1.54767545e-04)	(1.96860220e+00 6.04978010e-05 -1.29063328e-06)
17              	(2.14997531e+00 3.42237035e-03 -3.98094355e-03)	(1.67016215e-01 3.36089591e-03 -3.97582698e-03)	(1.98295909e+00 6.14744390e-05 -5.11656639e-06)
18              	(1.65433994e+00 6.47429972e-03 -3.87581484e-03)	(-3.40844823e-01 6.40867991e-03 -3.86597768e-03)	(1.99518477e+00 6.56198147e-05 -9.83716085e-06)
19              	(1.64297959e+00 4.82818861e-03 -6.41780959e-04)	(-3.62684503e-01 4.75828218e-03 -6.30871367e-04)	(2.00566409e+00 6.99064296e-05 -1.09095912e-05)
20              	(1.95410433e+00 1.28932216e-03 2.55012380e-03)	(-6.06126767e-02 1.21713367e-03 2.55759408e-03)	(2.01471700e+00 7.21884869e-05 -7.47027650e-06)
21              	(2.27073287e+00 -7.86927629e-04 3.45453000e-03)	(2.48291966e-01 -8.59588474e-04 3.45635874e-03)	(2.02244091e+00 7.26608452e-05 -1.82873984e-06)
22              	(2.38586708e+00 -4.29895827e-04 1.95845515e-03)	(3.57107602e-01 -5.02165901e-04 1.95600221e-03)	(2.02875947e+00 7.22700737e-05 2.45293195e-06)
23              	(2.29853164e+00 9.70673879e-04 -7.54306976e-05)	(2.64950512e-01 8.98536228e-04 -7.89778563e-05)	(2.03358113e+00 7.21376510e-05 3.54715877e-06)
24              	(2.14346366e+00 2.09872192e-03 -1.18032827e-03)	(1.06544515e-01 2.02620622e-03 -1.18263689e-03)	(2.03691915e+00 7.25156969e-05 2.30862783e-06)
25              	(2.04897666e+00 1.91542244e-03 -6.67035483e-04)	(1.00766909e-02 1.84237307e-03 -6.67942993e-04)	(2.03889997e+00 7.30493691e-05 9.07509914e-07)
26              	(2.05539577e+00 7.64563815e-04 6.24188454e-04)	(1.57093287e-02 6.91348047e-04 6.23123100e-04)	(2.03968644e+00 7.32157685e-05 1.06535317e-06)
27              	(2.12162679e+00 -3.39792393e-04 1.72097908e-03)	(8.22247681e-02 -4.12812375e-04 1.71800482e-03)	(2.03940203e+00 7.30199822e-05 2.97425578e-06)
28              	(2.18044667e+00 -4.64662663e-04 1.91530218e-03)	(1.42345850e-01 -5.37498169e-04 1.90966858e-03)	(2.03810082e+00 7.28355051e-05 5.63359551e-06)
29              	(2.19362077e+00 2.14187217e-05 1.25808686e-03)	(1.57825692e-01 -5.16957383e-05 1.25045099e-03)	(2.03579508e+00 7.31144600e-05 7.63586670e-06)
30              	(2.16680959e+00 5.80297785e-04 3.35621959e-04)	(1.34305362e-01 5.06560224e-04 3.27359486e-04)	(2.03250423e+00 7.37375612e-05 8.26247345e-06)
31              	(2.12961227e+00 7.34266011e-04 -1.98263218e-04)	(1.01327715e-01 6.60089677e-04 -2.06036392e-04)	(2.02828455e+00 7.41763345e-05 7.77317357e-06)
32              	(2.10704918e+00 3.31099360e-04 -1.23086799e-04)	(8.38243395e-02 2.57092552e-04 -1.30079526e-04)	(2.02322485e+00 7.40068081e-05 6.99272625e-06)
33              	(2.10492436e+00 -2.45335593e-04 4.39631466e-04)	(8.75036039e-02 -3.18531517e-04 4.32948778e-04)	(2.01742075e+00 7.31959247e-05 6.68268795e-06)
34              	(2.11295000e+00 -7.32385624e-04 8.93766709e-04)	(1.01999136e-01 -8.04463321e-04 8.86696261e-04)	(2.01095086e+00 7.20776974e-05 7.07044819e-06)
35              	(2.11714745e+00 -8.03304424e-04 1.01637127e-03)	(1.13277411e-01 -8.74366141e-04 1.00855489e-03)	(2.00387004e+00 7.10617173e-05 7.81637563e-06)
36              	(2.11067867e+00 -5.69232916e-04 7.83828085e-04)	(1.14458888e-01 -6.39697407e-04 7.75406339e-04)	(1.99621978e+00 7.04644916e-05 8.42174577e-06)
37              	(2.09600602e+00 -3.04803982e-04 4.13038377e-04)	(1.07963603e-01 -3.75114822e-04 4.04403900e-04)	(1.98804241e+00 7.03108401e-05 8.63447663e-06)
38              	(2.07989514e+00 -1.67038692e-04 1.74366342e-04)	(1.00506683e-01 -2.37394782e-04 1.65859317e-04)	(1.97938845e+00 7.03560894e-05 8.50702540e-06)
39              	(2.06739836e+00 -2.38035832e-04 1.48743943e-04)	(9.70823317e-02 -3.08405231e-04 1.40462397e-04)	(1.97031603e+00 7.03693988e-05 8.28154524e-06)
40              	(2.05917026e+00 -4.54619718e-04 2.79694324e-04)	(9.82865954e-02 -5.24792780e-04 2.71470155e-04)	(1.96088366e+00 7.01730619e-05 8.22416885e-06)
41              	(2.05263919e+00 -6.25967241e-04 4.29006027e-04)	(1.01495799e-01 -6.95765996e-04 4.20609038e-04)	(1.95114339e+00 6.97987553e-05 8.39698880e-06)
42              	(2.04482531e+00 -6.53503323e-04 4.77260879e-04)	(1.03686339e-01 -7.22879136e-04 4.68536771e-04)	(1.94113897e+00 6.93758131e-05 8.72410729e-06)
43              	(2.03444393e+00 -5.82426554e-04 4.40620485e-04)	(1.03534950e-01 -6.51500182e-04 4.31592563e-04)	(1.93090898e+00 6.90736279e-05 9.02792167e-06)
44              	(2.02220232e+00 -5.10447506e-04 3.61577245e-04)	(1.01712477e-01 -5.79414961e-04 3.52319863e-04)	(1.92048984e+00 6.89674554e-05 9.25738242e-06)
45              	(2.00968686e+00 -4.53316889e-04 3.08544289e-04)	(9.97679341e-02 -5.22286235e-04 2.99129154e-04)	(1.90991893e+00 6.89693464e-05 9.41513458e-06)
46              	(1.99805219e+00 -4.12987527e-04 2.99098590e-04)	(9.88175540e-02 -4.81930594e-04 2.89550517e-04)	(1.89923463e+00 6.89430665e-05 9.54807312e-06)
47              	(1.98744774e+00 -4.21783834e-04 3.30872043e-04)	(9.89742963e-02 -4.90665269e-04 3.21165594e-04)	(1.88847344e+00 6.88814353e-05 9.70644955e-06)
48              	(1.97728431e+00 -4.63234399e-04 3.56958160e-04)	(9.96163278e-02 -5.31988865e-04 3.47075405e-04)	(1.87766799e+00 6.87544654e-05 9.88275479e-06)
49              	(1.96688334e+00 -5.05009632e-04 3.49015635e-04)	(1.00039186e-01 -5.73648971e-04 3.38911647e-04)	(1.86684416e+00 6.86393385e-05 1.01039878e-05)
50              	(1.95595523e+00 -5.24278835e-04 3.23620026e-04)	(9.99345577e-02 -5.92819461e-04 3.13258950e-04)	(1.85602067e+00 6.85406261e-05 1.03610753e-05)
51              	(1.94466155e+00 -5.28810261e-04 3.02005719e-04)	(9.94463270e-02 -5.97307645e-04 2.91368342e-04)	(1.84521522e+00 6.84973845e-05 1.06373771e-05)
52              	(1.93335986e+00 -5.14219508e-04 2.96920995e-04)	(9.89143826e-02 -5.82716517e-04 2.85973396e-04)	(1.83444548e+00 6.84970091e-05 1.09475995e-05)
53              	(1.92232144e+00 -4.99524255e-04 3.03051457e-04)	(9.85908582e-02 -5.68005748e-04 2.91794210e-04)	(1.82373058e+00 6.84814923e-05 1.12572472e-05)
54              	(1.91160077e+00 -5.00268319e-04 3.08261002e-04)	(9.85120791e-02 -5.68700185e-04 2.96669404e-04)	(1.81308869e+00 6.84318659e-05 1.15915981e-05)
55              	(1.90108575e+00 -5.18079653e-04 3.08319197e-04)	(9.85504466e-02 -5.86424887e-04 2.96389091e-04)	(1.80253530e+00 6.83452343e-05 1.19301059e-05)
56              	(1.89063670e+00 -5.34273287e-04 2.98529350e-04)	(9.85556521e-02 -6.02554561e-04 2.86291301e-04)	(1.79208104e+00 6.82812739e-05 1.22380490e-05)
57              	(1.88018807e+00 -5.40989118e-04 2.82830822e-04)	(9.84562242e-02 -6.09238722e-04 2.70266084e-04)	(1.78173185e+00 6.82496037e-05 1.25647380e-05)
58              	(1.86977603e+00 -5.35771924e-04 2.66509511e-04)	(9.82768706e-02 -6.03982047e-04 2.53617701e-04)	(1.77149916e+00 6.82101230e-05 1.28918100e-05)
59              	(1.85948200e+00 -5.24076665e-04 2.56044921e-04)	(9.80877288e-02 -5.92245731e-04 2.42831970e-04)	(1.76139427e+00 6.81690661e-05 1.32129514e-05)
60              	(1.84937067e+00 -5.15011965e-04 2.52213390e-04)	(9.79422475e-02 -5.83136723e-04 2.38722093e-04)	(1.75142842e+00 6.81247583e-05 1.34912966e-05)
61              	(1.83945819e+00 -5.13354044e-04 2.50146042e-04)	(9.78484346e-02 -5.81411911e-04 2.36354831e-04)	(1.74160976e+00 6.80578678e-05 1.37912113e-05)
62              	(1.82972354e+00 -5.13966997e-04 2.43899824e-04)	(9.77783401e-02 -5.81939179e-04 2.29803829e-04)	(1.73194520e+00 6.79721826e-05 1.40959945e-05)
63              	(1.82014042e+00 -5.11364049e-04 2.38340146e-04)	(9.76983684e-02 -5.79196297e-04 2.23977256e-04)	(1.72244205e+00 6.78322480e-05 1.43628906e-05)
64              	(1.81069943e+00 -5.04287472e-04 2.35148967e-04)	(9.75926814e-02 -5.71991651e-04 2.20518623e-04)	(1.71310674e+00 6.77041787e-05 1.46303444e-05)
65              	(1.80141197e+00 -4.93982805e-04 2.31306217e-04)	(9.74674567e-02 -5.61568331e-04 2.16422237e-04)	(1.70394451e+00 6.75855265e-05 1.48839796e-05)
66              	(1.79230189e+00 -4.88394014e-04 2.25201966e-04)	(9.73418905e-02 -5.55887531e-04 2.10092282e-04)	(1.69496000e+00 6.74935164e-05 1.51096832e-05)
67              	(1.78338983e+00 -4.88698475e-04 2.17049848e-04)	(9.72321325e-02 -5.56124234e-04 2.01710479e-04)	(1.68615770e+00 6.74257584e-05 1.53393694e-05)
68              	(1.77468432e+00 -4.94618373e-04 2.08796726e-04)	(9.71427519e-02 -5.61969632e-04 1.93252043e-04)	(1.67754157e+00 6.73512588e-05 1.55446829e-05)
69              	(1.76618221e+00 -5.06173319e-04 2.01476645e-04)	(9.70670928e-02 -5.73459248e-04 1.85753492e-04)	(1.66911512e+00 6.72859295e-05 1.57231535e-05)
70              	(1.75787545e+00 -5.20355949e-04 1.95661477e-04)	(9.69940286e-02 -5.87611978e-04 1.79781552e-04)	(1.66088142e+00 6.72560289e-05 1.58799248e-05)
71              	(1.74975861e+00 -5.34042660e-04 1.91184751e-04)	(9.69156714e-02 -6.01259215e-04 1.75146165e-04)	(1.65284293e+00 6.72165550e-05 1.60385859e-05)
72              	(1.74183106e+00 -5.45404629e-04 1.86951637e-04)	(9.68292628e-02 -6.12580923e-04 1.70738312e-04)	(1.64500179e+00 6.71762931e-05 1.62133257e-05)
73              	(1.73409741e+00 -5.53132132e-04 1.81268529e-04)	(9.67370862e-02 -6.20258143e-04 1.64882348e-04)	(1.63736033e+00 6.71260110e-05 1.63861810e-05)
74              	(1.72656477e+00 -5.58694831e-04 1.74052874e-04)	(9.66445398e-02 -6.25769504e-04 1.57498128e-04)	(1.62992023e+00 6.70746723e-05 1.65547464e-05)
75              	(1.71923868e+00 -5.62724496e-04 1.66876682e-04)	(9.65564023e-02 -6.29768900e-04 1.50176900e-04)	(1.62268228e+00 6.70444046e-05 1.66997822e-05)
76              	(1.71212187e+00 -5.67275400e-04 1.60455907e-04)	(9.64753221e-02 -6.34286951e-04 1.43605450e-04)	(1.61564654e+00 6.70115512e-05 1.68504570e-05)
77              	(1.70521411e+00 -5.74024958e-04 1.54577173e-04)	(9.64013263e-02 -6.40999328e-04 1.37569073e-04)	(1.60881278e+00 6.69743704e-05 1.70080996e-05)
78              	(1.69851235e+00 -5.81613323e-04 1.47556620e-04)	(9.63320342e-02 -6.48544625e-04 1.30380276e-04)	(1.60218032e+00 6.69313023e-05 1.71763436e-05)
79              	(1.69201172e+00 -5.86966836e-04 1.39236681e-04)	(9.62636737e-02 -6.53846235e-04 1.21881002e-04)	(1.59574805e+00 6.68793987e-05 1.73556794e-05)
80              	(1.68570790e+00 -5.88214684e-04 1.31866317e-04)	(9.61933728e-02 -6.55044776e-04 1.14316701e-04)	(1.58951453e+00 6.68300925e-05 1.75496161e-05)
81              	(1.67959772e+00 -5.84834489e-04 1.27734189e-04)	(9.61197596e-02 -6.51623478e-04 1.09998508e-04)	(1.58347796e+00 6.67889896e-05 1.77356814e-05)
82              	(1.67367901e+00 -5.80743926e-04 1.25888325e-04)	(9.60427332e-02 -6.47494245e-04 1.07958646e-04)	(1.57763628e+00 6.67503191e-05 1.79296797e-05)
83              	(1.66795069e+00 -5.77369188e-04 1.24402188e-04)	(9.59636075e-02 -6.44090858e-04 1.06298326e-04)	(1.57198709e+00 6.67216694e-05 1.81038616e-05)
84              	(1.66241205e+00 -5.75019148e-04 1.21784036e-04)	(9.58842901e-02 -6.41698697e-04 1.03517949e-04)	(1.56652776e+00 6.66795494e-05 1.82660867e-05)
85              	(1.65706143e+00 -5.73076411e-04 1.17811311e-04)	(9.58059568e-02 -6.39696353e-04 9.93819298e-05)	(1.56125548e+00 6.66199424e-05 1.84293814e-05)
86              	(1.65189613e+00 -5.70316019e-04 1.13935532e-04)	(9.57289067e-02 -6.36861592e-04 9.53367758e-05)	(1.55616722e+00 6.65455735e-05 1.85987560e-05)
87              	(1.64691258e+00 -5.66469790e-04 1.10522828e-04)	(9.56527508e-02 -6.32930471e-04 9.17788933e-05)	(1.55125983e+00 6.64606809e-05 1.87439349e-05)
88              	(1.64210623e+00 -5.61708073e-04 1.08081443e-04)	(9.55765808e-02 -6.28076659e-04 8.91746411e-05)	(1.54652965e+00 6.63685862e-05 1.89068022e-05)
89              	(1.63747294e+00 -5.57805061e-04 1.06850919e-04)	(9.54997342e-02 -6.24067119e-04 8.77556446e-05)	(1.54197320e+00 6.62620581e-05 1.90952742e-05)
90              	(1.63300839e+00 -5.56543489e-04 1.06168655e-04)	(9.54216272e-02 -6.22688025e-04 8.68544917e-05)	(1.53758676e+00 6.61445357e-05 1.93141634e-05)
91              	(1.62870823e+00 -5.57574968e-04 1.05229420e-04)	(9.53418419e-02 -6.23586059e-04 8.56850346e-05)	(1.53336639e+00 6.60110909e-05 1.95443854e-05)
92              	(1.62456852e+00 -5.58451335e-04 1.04472934e-04)	(9.52603406e-02 -6.24302881e-04 8.47108903e-05)	(1.52930818e+00 6.58515456e-05 1.97620436e-05)
93              	(1.62058569e+00 -5.59080321e-04 1.03659109e-04)	(9.51774298e-02 -6.24764798e-04 8.37081727e-05)	(1.52540826e+00 6.56844765e-05 1.99509360e-05)
94              	(1.61675624e+00 -5.59130125e-04 1.02182609e-04)	(9.50936441e-02 -6.24641980e-04 8.20350746e-05)	(1.52166259e+00 6.55118549e-05 2.01475345e-05)
95              	(1.61307687e+00 -5.59449198e-04 1.00240985e-04)	(9.50098648e-02 -6.24779123e-04 7.99231096e-05)	(1.51806700e+00 6.53299260e-05 2.03178751e-05)
96              	(1.60954421e+00 -5.60799203e-04 9.78715621e-05)	(9.49267867e-02 -6.25931308e-04 7.73833986e-05)	(1.51461743e+00 6.51321051e-05 2.04881635e-05)
97              	(1.60615480e+00 -5.63909800e-04 9.51488525e-05)	(9.48446852e-02 -6.28830531e-04 7.44948078e-05)	(1.51131011e+00 6.49207309e-05 2.06540447e-05)
98              	(1.60290472e+00 -5.67966459e-04 9.19198359e-05)	(9.47634508e-02 -6.32673746e-04 7.11180936e-05)	(1.50814127e+00 6.47072871e-05 2.08017423e-05)
99              	(1.59978973e+00 -5.71772695e-04 8.82784199e-05)	(9.46827902e-02 -6.36253139e-04 6.73258762e-05)	(1.50510694e+00 6.44804441e-05 2.09525437e-05)
100             	(1.59680728e+00 -5.74213763e-04 8.41005391e-05)	(9.46024330e-02 -6.38469415e-04 6.30044074e-05)	(1.50220484e+00 6.42556520e-05 2.10961318e-05)
101             	(1.59395538e+00 -5.75029054e-04 7.96893510e-05)	(9.45224566e-02 -6.39048609e-04 5.84613557e-05)	(1.49943293e+00 6.40195551e-05 2.12279953e-05)
102             	(1.59123026e+00 -5.74094542e-04 7.53049686e-05)	(9.44432509e-02 -6.37865613e-04 5.39632528e-05)	(1.49678701e+00 6.37710709e-05 2.13417158e-05)
103             	(1.58862814e+00 -5.72411393e-04 7.08974062e-05)	(9.43655360e-02 -6.35932395e-04 4.94452727e-05)	(1.49426260e+00 6.35210021e-05 2.14521335e-05)
104             	(1.58614521e+00 -5.70509037e-04 6.60906942e-05)	(9.42898643e-02 -6.33770825e-04 4.45398570e-05)	(1.49185534e+00 6.32617884e-05 2.15508372e-05)
105             	(1.58377756e+00 -5.68033153e-04 6.09070055e-05)	(9.42166214e-02 -6.31040049e-04 3.92617072e-05)	(1.48956094e+00 6.30068963e-05 2.16452984e-05)
106             	(1.58152097e+00 -5.65060689e-04 5.51995379e-05)	(9.41459181e-02 -6.27816628e-04 3.34594232e-05)	(1.48737505e+00 6.27559389e-05 2.17401146e-05)
107             	(1.57937102e+00 -5.62257137e-04 4.90093024e-05)	(9.40775811e-02 -6.24763604e-04 2.71956586e-05)	(1.48529344e+00 6.25064667e-05 2.18136438e-05)
108             	(1.57732330e+00 -5.59606102e-04 4.28995579e-05)	(9.40114309e-02 -6.21864174e-04 2.10171164e-05)	(1.48331187e+00 6.22580720e-05 2.18824415e-05)
109             	(1.57537356e+00 -5.56885402e-04 3.65883348e-05)	(9.39473820e-02 -6.18907862e-04 1.46486277e-05)	(1.48142618e+00 6.20224594e-05 2.19397071e-05)
110             	(1.57351767e+00 -5.53150442e-04 2.98100155e-05)	(9.38854755e-02 -6.14945620e-04 7.82502014e-06)	(1.47963219e+00 6.17951776e-05 2.19849954e-05)
111             	(1.57175154e+00 -5.46947573e-04 2.29947765e-05)	(9.38256796e-02 -6.08519597e-04 9.68919928e-07)	(1.47792586e+00 6.15720233e-05 2.20258565e-05)
112             	(1.57007119e+00 -5.39267049e-04 1.58564978e-05)	(9.37679517e-02 -6.00612016e-04 -6.20158085e-06)	(1.47630324e+00 6.13449661e-05 2.20580787e-05)
113             	(1.56847257e+00 -5.32178324e-04 8.87922068e-06)	(9.37121282e-02 -5.93294519e-04 -1.32070815e-05)	(1.47476044e+00 6.11161946e-05 2.20863022e-05)
114             	(1.56695160e+00 -5.26595925e-04 2.79854274e-06)	(9.36579454e-02 -5.87493081e-04 -1.93073065e-05)	(1.47329365e+00 6.08971557e-05 2.21058492e-05)
115             	(1.56550434e+00 -5.22956605e-04 -2.87864943e-06)	(9.36051040e-02 -5.83645807e-04 -2.49943713e-05)	(1.47189923e+00 6.06892019e-05 2.21157219e-05)
116             	(1.56412690e+00 -5.20563598e-04 -9.29664454e-06)	(9.35532739e-02 -5.81054830e-04 -3.14052664e-05)	(1.47057363e+00 6.04912322e-05 2.21086219e-05)
117             	(1.56281545e+00 -5.17308036e-04 -1.61589830e-05)	(9.35021341e-02 -5.77610087e-04 -3.82507876e-05)	(1.46931332e+00 6.03020507e-05 2.20918046e-05)
118             	(1.56156621e+00 -5.12369358e-04 -2.32200076e-05)	(9.34512757e-02 -5.72493588e-04 -4.52906991e-05)	(1.46811493e+00 6.01242303e-05 2.20706916e-05)
119             	(1.56037546e+00 -5.06468912e-04 -3.03738978e-05)	(9.34002494e-02 -5.66426900e-04 -5.24173880e-05)	(1.46697521e+00 5.99579877e-05 2.20434902e-05)
120             	(1.55923952e+00 -5.00612368e-04 -3.67422915e-05)	(9.33485277e-02 -5.60411913e-04 -5.87515834e-05)	(1.46589100e+00 5.97995448e-05 2.20092919e-05)
121             	(1.55815515e+00 -4.95421015e-04 -4.27536088e-05)	(9.32958787e-02 -5.55068947e-04 -6.47236331e-05)	(1.46485927e+00 5.96479315e-05 2.19700243e-05)
122             	(1.55711913e+00 -4.91985471e-04 -4.83071582e-05)	(9.32420494e-02 -5.51491686e-04 -7.02351517e-05)	(1.46387708e+00 5.95062150e-05 2.19279936e-05)
123             	(1.55612845e+00 -4.89047559e-04 -5.38755163e-05)	(9.31868395e-02 -5.48423978e-04 -7.57603455e-05)	(1.46294161e+00 5.93764191e-05 2.18848292e-05)
124             	(1.55518019e+00 -4.85493159e-04 -5.99378132e-05)	(9.31300586e-02 -5.44748199e-04 -8.17773313e-05)	(1.46205014e+00 5.92550403e-05 2.18395182e-05)
125             	(1.55427145e+00 -4.80807580e-04 -6.63991566e-05)	(9.30714054e-02 -5.39945383e-04 -8.81929777e-05)	(1.46120004e+00 5.91378030e-05 2.17938212e-05)
126             	(1.55339937e+00 -4.75482460e-04 -7.29130705e-05)	(9.30105642e-02 -5.34508601e-04 -9.46585472e-05)	(1.46038881e+00 5.90261405e-05 2.17454767e-05)
127             	(1.55256141e+00 -4.69820477e-04 -7.92866246e-05)	(9.29473875e-02 -5.28741826e-04 -1.00980521e-04)	(1.45961402e+00 5.89213488e-05 2.16938964e-05)
