# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(-7.55756074e-08 -3.87055227e-02 -8.22719543e-02)	(-7.97355286e-08 -3.86936949e-02 -8.22591711e-02)	(4.15992129e-09 -1.18278272e-05 -1.27832506e-05)
2               	(1.63498249e-08 -2.70865482e-02 -7.03841060e-02)	(-7.23527818e-09 -2.70544482e-02 -7.04003538e-02)	(2.35851031e-08 -3.20999408e-05 1.62478515e-05)
3               	(1.91704253e-07 2.27551005e-03 -1.19852670e-02)	(1.42382546e-07 2.30788231e-03 -1.20173459e-02)	(4.93217070e-08 -3.23722542e-05 3.20788499e-05)
4               	(2.24008858e-07 2.18983964e-02 3.72205007e-02)	(1.57212007e-07 2.19125344e-02 3.71814136e-02)	(6.67968515e-08 -1.41379863e-05 3.90870940e-05)
5               	(1.22132895e-07 2.00143760e-02 4.53429668e-02)	(5.26301886e-08 2.00082606e-02 4.53039279e-02)	(6.95027059e-08 6.11542577e-06 3.90388781e-05)
6               	(7.68286922e-09 4.12182999e-03 2.00652954e-02)	(-3.82150764e-08 4.10337438e-03 2.00305193e-02)	(4.58979456e-08 1.84556056e-05 3.47760819e-05)
7               	(-1.23797154e-08 -1.05149545e-02 -1.20612149e-02)	(-4.46845818e-08 -1.05322557e-02 -1.20874312e-02)	(3.23048664e-08 1.73012273e-05 2.62163219e-05)
8               	(8.00699849e-08 -1.33332530e-02 -2.51946403e-02)	(4.48415875e-08 -1.33421972e-02 -2.52121663e-02)	(3.52283974e-08 8.94413668e-06 1.75259289e-05)
9               	(2.35680308e-07 -5.28394965e-03 -1.54135273e-02)	(1.90022996e-07 -5.28669238e-03 -1.54267864e-02)	(4.56573118e-08 2.74273440e-06 1.32591013e-05)
10              	(3.53082069e-07 4.59703125e-03 3.26413843e-03)	(3.06748812e-07 4.59392742e-03 3.24686676e-03)	(4.63332573e-08 3.10383018e-06 1.72716624e-05)
11              	(3.23546969e-07 8.41954986e-03 1.48103367e-02)	(2.70497394e-07 8.41103754e-03 1.47845091e-02)	(5.30495755e-08 8.51231591e-06 2.58275908e-05)
12              	(1.93187276e-07 5.18567366e-03 1.32252929e-02)	(1.35361243e-07 5.17150995e-03 1.31933045e-02)	(5.78260332e-08 1.41637141e-05 3.19884680e-05)
13              	(4.83314695e-08 -7.31159629e-04 3.78561332e-03)	(-1.43080320e-08 -7.48079235e-04 3.75356538e-03)	(6.26395015e-08 1.69196061e-05 3.20479423e-05)
14              	(-1.96235021e-08 -4.44386412e-03 -4.42171500e-03)	(-8.32880706e-08 -4.46068870e-03 -4.44842906e-03)	(6.36645685e-08 1.68245872e-05 2.67140635e-05)
15              	(1.33366657e-08 -3.94693979e-03 -6.02434159e-03)	(-5.75045864e-08 -3.96240386e-03 -6.04492952e-03)	(7.08412521e-08 1.54640757e-05 2.05879232e-05)
16              	(1.17712289e-07 -7.87581342e-04 -2.11595177e-03)	(4.48723068e-08 -8.03001810e-04 -2.13331625e-03)	(7.28399826e-08 1.54204680e-05 1.73644719e-05)
17              	(2.19549775e-07 1.73160074e-03 2.77780429e-03)	(1.47057398e-07 1.71467511e-03 2.75951014e-03)	(7.24923770e-08 1.69256288e-05 1.82941458e-05)
18              	(2.76090503e-07 2.03136374e-03 4.73743970e-03)	(2.03212500e-07 2.01273811e-03 4.71634597e-03)	(7.28780025e-08 1.86256283e-05 2.10937368e-05)
19              	(2.68000629e-07 5.97427959e-04 3.17977609e-03)	(1.94956178e-07 5.77975502e-04 3.15727820e-03)	(7.30444508e-08 1.94524571e-05 2.24978945e-05)
20              	(2.18626856e-07 -9.97901093e-04 4.63957071e-04)	(1.45855095e-07 -1.01714560e-03 4.42873835e-04)	(7.27717607e-08 1.92445061e-05 2.10832362e-05)
