a,b,c,d,n,t,v,D,infeasible
310.9985,543.25275,443.282,192.68144,3.0421007,40.21968,26099.52,7.0488563,0
165.86217,804.78864,305.53665,132.4243,1.1522821,23.875536,16391.172,4.3308396,0
115.20579,1625.9331,86.36429,64.02127,4.9183016,25.009577,7544.361,2.9372494,0
287.8522,444.38275,343.361,142.55823,4.054227,29.66991,14822.925,4.183226,0
144.40382,1530.4153,173.78212,88.11054,4.6342416,12.839033,12845.497,3.9547381,0
246.03413,804.16376,239.46164,85.816895,4.3761487,33.538033,10072.516,1100.0,1
109.86653,1511.746,111.77205,51.48773,1.784512,45.140915,5479.641,1100.0,1
379.58215,1269.9901,269.02643,127.55643,1.71309,32.642525,24615.428,5.6231766,0
149.78717,1560.276,186.0872,109.66689,4.1001153,47.43324,18627.793,5.3780937,0
194.26515,1186.7394,286.46542,128.91872,2.5504625,38.90535,21085.328,5.5037365,0
447.135,495.68704,466.8864,160.47676,3.4726436,23.292675,21968.096,5.3267236,0
431.06216,409.53983,443.0851,154.44882,3.769205,5.952944,18935.504,5.292595,0
230.28844,793.01434,267.76624,113.92761,2.5984795,23.978676,13839.829,3.672847,0
380.1861,716.8711,317.89777,179.7363,4.165691,27.233517,28098.973,6.578701,0
346.36234,727.5915,155.1359,147.87057,1.8234879,3.447117,19655.516,5.326393,0
345.2115,944.2461,242.28885,177.50821,2.9299102,9.905305,31899.719,7.159148,0
150.47958,978.1344,174.65857,62.61511,3.236959,39.061382,6381.6626,2.1489174,0
531.06116,810.496,313.83844,193.0683,2.8038983,14.911985,36673.7,7.6523185,0
261.25366,1114.9152,508.53314,172.59229,3.1470988,7.0673575,35666.184,7.3254433,0
205.6812,1231.9183,311.06143,138.65724,1.2503841,34.09637,24742.701,5.963051,0
311.04126,956.76434,273.33264,183.96329,1.0986327,25.762327,33807.184,7.139605,0
177.8261,1304.806,191.15875,121.97405,1.9969653,8.905717,19716.195,5.1195216,0
138.49791,1535.6373,193.16602,84.10017,1.0636066,17.098755,12064.166,1100.0,1
196.28056,603.9268,234.77933,128.647,3.5308533,7.5385675,12974.995,3.667299,0
173.76083,1058.3328,170.54968,61.1965,1.1952372,31.398657,6780.178,1100.0,1
161.50362,846.27106,281.55463,111.61039,2.2630258,16.293367,13054.98,3.5974917,0
409.26,774.4036,358.66138,177.2366,2.4553246,2.91357,29874.145,6.4411106,0
428.45093,391.13974,198.74454,186.04344,1.8791825,34.741356,20298.117,14.619219,0
177.3032,642.17096,239.35704,92.21339,2.5040226,23.52413,8745.254,2.5348325,0
105.109146,942.7007,168.95784,92.03693,3.3655949,49.590794,9148.883,3.270581,0
526.9282,645.4037,360.59464,177.3031,1.4118539,39.553444,28764.648,6.585884,0
314.98926,1116.0328,296.4903,119.49037,1.4796165,3.6487978,19942.47,4.637879,0
319.90726,1374.6016,271.26535,184.74864,2.2631621,15.14153,45445.316,8.879143,0
251.75279,1310.4207,208.21298,101.535576,2.8995302,47.624935,16116.952,1100.0,1
242.88036,1403.4996,205.59464,143.622,4.669076,13.340506,28662.469,6.6902037,0
390.98724,613.3721,297.27814,160.98828,1.0963687,45.475937,21926.158,5.622476,0
122.497154,782.4543,172.15329,114.07364,1.282535,24.388187,11317.972,3.472599,0
286.28864,1172.5562,510.3532,171.19504,3.129945,33.391613,36994.496,8.184522,0
383.41592,637.23035,270.36053,135.50252,2.8976417,32.011135,17730.28,4.3937726,0
209.19414,903.04407,147.06737,107.98439,4.0805016,2.7996032,12688.43,1100.0,1
173.72807,1044.1116,178.77457,120.83206,3.6668873,26.189787,16237.163,4.497407,0
287.67685,949.63763,154.26303,112.808754,1.7242991,34.475563,15234.824,3.970494,0
116.32359,951.8289,226.89465,85.19081,1.2142788,25.745052,8842.481,1100.0,1
304.7259,1355.8962,244.02122,122.855415,4.776672,38.01433,22993.19,5.708841,0
168.17119,1036.2588,132.70885,69.284676,1.4508332,10.445532,7293.641,2.3196435,0
211.93591,1237.8832,80.584755,73.91464,4.883076,9.446844,9013.593,2.9659145,0
339.34674,377.22864,291.04318,119.53429,3.2670543,12.011164,11918.557,4.814336,0
289.3217,1154.4299,169.42142,103.29746,4.9033256,14.214155,15462.597,4.1140013,0
327.98016,521.5526,187.38028,143.29718,2.1689644,10.100459,15455.793,4.1426682,0
321.04633,1168.5272,218.10997,172.60184,3.6349611,44.532032,35152.07,7.8895593,0
211.11292,928.6032,286.43362,106.12543,4.325302,32.708916,13728.855,1100.0,1
195.44316,1226.8186,257.7951,155.33955,1.4891233,39.848946,29008.105,6.7528152,0
397.89224,193.0079,465.01886,198.61475,2.8499954,5.811772,18224.732,5.073922,0
187.12021,1197.8077,302.71667,136.342,2.4328914,6.3011017,23215.941,5.567755,0
340.72562,419.69632,298.20657,117.038765,4.7335024,25.518257,12240.533,2200.0,1
271.13855,392.78604,345.27127,173.89624,3.1587348,27.38608,17419.074,2200.0,1
190.38939,1287.4274,367.02057,162.87695,2.467629,21.810118,33644.727,7.292246,0
383.02707,420.63364,339.33502,151.9847,2.8686535,30.069183,17089.113,4.617982,0
290.26193,973.9778,376.75604,137.05365,4.016324,21.051062,22387.584,5.3340673,0
176.67886,787.7523,115.78859,74.791466,2.2635283,29.906612,6875.1973,1100.0,1
270.1007,537.86743,397.61395,137.24165,3.091483,13.895719,15780.396,3.9873252,0
84.95902,1569.2123,141.41527,53.032906,3.558422,41.48647,5655.134,1100.0,1
545.3551,312.47803,512.9375,199.10435,3.7604644,35.567272,25131.65,7.0324416,0
273.533,696.77295,470.49817,163.83461,3.4516757,12.530912,23835.074,5.605998,0
307.90866,835.1931,264.9544,112.19008,2.3284245,42.474678,15171.032,4.0824666,0
77.87936,1481.2864,106.436676,53.015705,1.7749503,31.676237,5123.7383,1100.0,1
149.47398,839.21985,336.11615,128.60559,4.726838,22.5357,16153.925,4.490171,0
135.99759,1516.6735,103.0531,64.91427,2.6318445,42.121407,7739.982,2.8536084,0
410.34238,613.1535,231.71397,176.22478,4.3478837,9.584805,24444.611,6.14936,0
67.50792,1291.4746,149.51938,56.758938,1.3373415,11.7420225,5270.527,1100.0,1
97.56601,1170.799,95.26196,63.28988,4.3543077,49.738632,5772.861,2.3491702,0
159.7489,1221.5284,113.398384,57.84559,3.1883352,13.896086,6278.8564,1100.0,1
227.52824,976.4166,415.73438,175.05313,1.2905371,41.543797,31631.266,7.574683,0
169.71155,679.3251,203.02759,81.83545,4.1490192,2.2358496,7554.9595,1100.0,1
152.28378,1282.2882,92.038925,50.92381,4.5726724,28.657057,5395.1284,1100.0,1
244.5205,1308.7502,270.61026,110.68345,2.4056923,20.803045,18596.125,4.729709,0
245.4159,973.00824,268.74805,189.08536,4.855938,27.874306,34587.113,7.7891603,0
189.0698,1356.335,83.97321,66.88315,4.874775,18.207163,8118.64,2.7571497,0
99.25189,1280.1907,207.65155,76.34086,4.717089,44.630894,8840.734,1100.0,1
177.26155,1209.7375,123.809494,113.55127,3.0255497,32.7075,16074.514,4.6154027,0
288.61148,1343.2797,259.12988,101.283195,1.785677,46.036682,17277.861,4.798833,0
249.26959,1015.7197,286.2717,166.18434,3.9847617,12.291314,29117.447,6.6204185,0
147.03583,1670.086,172.28004,76.25334,1.9116418,37.803146,11079.076,1100.0,1
344.49252,1261.9263,268.3405,143.75533,4.9254265,19.127434,28609.041,6.4564877,0
71.84522,1500.3289,97.23299,51.48963,2.9480898,29.647581,4826.509,1100.0,1
180.59183,1649.5488,161.2306,67.89861,3.2639775,3.7527008,9762.109,3.184697,0
180.61986,1578.7687,184.09412,90.22037,3.3773558,39.81572,14244.575,4.281047,0
180.00842,1444.616,226.23085,88.489365,2.317974,38.84372,13309.151,4.01691,0
496.97333,327.7705,284.9253,197.5785,3.8176053,11.223616,21722.273,14.131332,0
225.31807,990.8163,177.65782,148.55388,2.9408295,15.348584,22577.004,5.743923,0
500.16617,121.524185,561.4568,188.417,4.569281,7.952901,18059.809,11.945848,0
87.89882,1482.4452,76.53256,64.18268,1.3871064,20.201344,6641.789,2.6906211,0
414.0286,625.6582,302.62607,181.9322,3.3057904,40.25235,26659.984,6.6091657,0
204.18588,815.1928,110.903786,73.777054,2.4046817,20.937782,7258.765,2.1967852,0
138.91663,1091.1523,103.26568,54.72551,1.7799478,33.853046,5248.3906,1100.0,1
505.51086,47.076633,448.80475,172.33455,2.3136249,15.86235,14170.216,11.513498,0
289.8915,1100.9702,544.68304,194.48418,3.4193738,21.398985,43784.477,8.77592,0
263.35397,1199.3553,184.37997,96.31412,3.6175637,14.367987,14165.582,3.8419027,0
230.52925,1139.4982,301.1823,116.53777,1.6430638,35.50856,18253.951,4.7797356,0
416.3404,1296.6954,272.26392,181.0419,2.348686,27.100004,43594.754,8.565,0
496.51474,833.8834,307.70184,168.46988,3.4926436,13.660367,30147.506,6.552594,0
159.14378,1708.4752,128.62032,65.238045,1.3535529,23.925535,8950.866,3.0986068,0
317.39322,1204.0753,256.4039,105.90802,4.845562,11.394716,17537.645,4.3968506,0
199.595,1423.5692,258.45285,157.31276,1.1165026,26.230577,33559.227,7.2903266,0
392.22968,994.83905,528.71063,187.90262,2.5862763,35.936832,40114.793,8.695291,0
364.49966,606.9262,194.42188,149.56334,2.6829002,15.51765,18487.883,4.739426,0
190.66737,1263.6053,342.93307,130.27475,2.5720603,6.3596244,22883.205,5.460762,0
292.12714,1003.17865,283.45038,136.88922,4.9471917,47.974495,22011.014,5.9628,0
68.33283,1390.973,99.86366,52.50515,1.4920202,31.777172,4681.4287,1100.0,1
116.15994,1373.6929,91.8721,65.74945,4.0657663,35.387257,7020.33,2.6683302,0
251.7463,1393.0961,245.61531,85.34372,1.2206571,3.3502424,13558.34,1100.0,1
122.32502,1393.2172,140.15677,50.921307,3.3619654,34.44235,5522.16,1100.0,1
143.71014,1007.4289,161.18402,56.456276,2.749336,45.304733,5663.4434,2.0248747,0
514.77594,1.3858547,507.11298,197.88536,4.246248,30.957376,14748.384,21.172098,0
171.62462,831.0685,68.88795,61.3428,3.1853468,40.295948,5393.3667,1100.0,1
177.14961,1268.2252,486.91803,170.58014,3.1525383,34.26712,36873.67,8.310683,0
201.45447,688.7827,350.3721,165.59355,2.342216,29.337976,21651.79,5.5392766,0
