a,b,c,d,n,t,D
310.9985,543.25275,443.282,192.68144,3.0421007,40.21968,7.0488563
165.86217,804.78864,305.53665,132.4243,1.1522821,23.875536,4.3308396
115.20579,1625.9331,86.36429,64.02127,4.9183016,25.009577,2.9372494
287.8522,444.38275,343.361,142.55823,4.054227,29.66991,4.183226
144.40382,1530.4153,173.78212,88.11054,4.6342416,12.839033,3.9547381
379.58215,1269.9901,269.02643,127.55643,1.71309,32.642525,5.6231766
149.78717,1560.276,186.0872,109.66689,4.1001153,47.43324,5.3780937
194.26515,1186.7394,286.46542,128.91872,2.5504625,38.90535,5.5037365
447.135,495.68704,466.8864,160.47676,3.4726436,23.292675,5.3267236
431.06216,409.53983,443.0851,154.44882,3.769205,5.952944,5.292595
230.28844,793.01434,267.76624,113.92761,2.5984795,23.978676,3.672847
380.1861,716.8711,317.89777,179.7363,4.165691,27.233517,6.578701
346.36234,727.5915,155.1359,147.87057,1.8234879,3.447117,5.326393
345.2115,944.2461,242.28885,177.50821,2.9299102,9.905305,7.159148
150.47958,978.1344,174.65857,62.61511,3.236959,39.061382,2.1489174
531.06116,810.496,313.83844,193.0683,2.8038983,14.911985,7.6523185
261.25366,1114.9152,508.53314,172.59229,3.1470988,7.0673575,7.3254433
205.6812,1231.9183,311.06143,138.65724,1.2503841,34.09637,5.963051
311.04126,956.76434,273.33264,183.96329,1.0986327,25.762327,7.139605
177.8261,1304.806,191.15875,121.97405,1.9969653,8.905717,5.1195216
196.28056,603.9268,234.77933,128.647,3.5308533,7.5385675,3.667299
161.50362,846.27106,281.55463,111.61039,2.2630258,16.293367,3.5974917
409.26,774.4036,358.66138,177.2366,2.4553246,2.91357,6.4411106
428.45093,391.13974,198.74454,186.04344,1.8791825,34.741356,14.619219
177.3032,642.17096,239.35704,92.21339,2.5040226,23.52413,2.5348325
105.109146,942.7007,168.95784,92.03693,3.3655949,49.590794,3.270581
526.9282,645.4037,360.59464,177.3031,1.4118539,39.553444,6.585884
314.98926,1116.0328,296.4903,119.49037,1.4796165,3.6487978,4.637879
319.90726,1374.6016,271.26535,184.74864,2.2631621,15.14153,8.879143
242.88036,1403.4996,205.59464,143.622,4.669076,13.340506,6.6902037
390.98724,613.3721,297.27814,160.98828,1.0963687,45.475937,5.622476
122.497154,782.4543,172.15329,114.07364,1.282535,24.388187,3.472599
286.28864,1172.5562,510.3532,171.19504,3.129945,33.391613,8.184522
383.41592,637.23035,270.36053,135.50252,2.8976417,32.011135,4.3937726
173.72807,1044.1116,178.77457,120.83206,3.6668873,26.189787,4.497407
287.67685,949.63763,154.26303,112.808754,1.7242991,34.475563,3.970494
304.7259,1355.8962,244.02122,122.855415,4.776672,38.01433,5.708841
168.17119,1036.2588,132.70885,69.284676,1.4508332,10.445532,2.3196435
211.93591,1237.8832,80.584755,73.91464,4.883076,9.446844,2.9659145
339.34674,377.22864,291.04318,119.53429,3.2670543,12.011164,4.814336
289.3217,1154.4299,169.42142,103.29746,4.9033256,14.214155,4.1140013
327.98016,521.5526,187.38028,143.29718,2.1689644,10.100459,4.1426682
321.04633,1168.5272,218.10997,172.60184,3.6349611,44.532032,7.8895593
195.44316,1226.8186,257.7951,155.33955,1.4891233,39.848946,6.7528152
397.89224,193.0079,465.01886,198.61475,2.8499954,5.811772,5.073922
187.12021,1197.8077,302.71667,136.342,2.4328914,6.3011017,5.567755
190.38939,1287.4274,367.02057,162.87695,2.467629,21.810118,7.292246
383.02707,420.63364,339.33502,151.9847,2.8686535,30.069183,4.617982
290.26193,973.9778,376.75604,137.05365,4.016324,21.051062,5.3340673
270.1007,537.86743,397.61395,137.24165,3.091483,13.895719,3.9873252
545.3551,312.47803,512.9375,199.10435,3.7604644,35.567272,7.0324416
273.533,696.77295,470.49817,163.83461,3.4516757,12.530912,5.605998
307.90866,835.1931,264.9544,112.19008,2.3284245,42.474678,4.0824666
149.47398,839.21985,336.11615,128.60559,4.726838,22.5357,4.490171
135.99759,1516.6735,103.0531,64.91427,2.6318445,42.121407,2.8536084
410.34238,613.1535,231.71397,176.22478,4.3478837,9.584805,6.14936
97.56601,1170.799,95.26196,63.28988,4.3543077,49.738632,2.3491702
227.52824,976.4166,415.73438,175.05313,1.2905371,41.543797,7.574683
244.5205,1308.7502,270.61026,110.68345,2.4056923,20.803045,4.729709
245.4159,973.00824,268.74805,189.08536,4.855938,27.874306,7.7891603
189.0698,1356.335,83.97321,66.88315,4.874775,18.207163,2.7571497
177.26155,1209.7375,123.809494,113.55127,3.0255497,32.7075,4.6154027
288.61148,1343.2797,259.12988,101.283195,1.785677,46.036682,4.798833
249.26959,1015.7197,286.2717,166.18434,3.9847617,12.291314,6.6204185
344.49252,1261.9263,268.3405,143.75533,4.9254265,19.127434,6.4564877
