# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.50000000e+00
# Aref          : 1.76641672e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	9.69017141e+00	1.38073289e-02	-1.51866286e-03	1.28998327e-07	-1.05390575e-03	-4.99182959e-03	4.84508584e+00	4.84508558e+00	1.91183488e-03	1.18954941e-02	-1.81323718e-03	2.94574315e-04
2               	8.68534477e+00	1.33698105e-02	-3.08501785e-03	9.73296898e-08	-1.58210078e-03	-4.76364220e-03	4.34267248e+00	4.34267229e+00	1.92126305e-03	1.14485475e-02	-3.12460970e-03	3.95918536e-05
3               	2.45574342e+00	3.79602704e-03	-2.40163719e-03	-4.21448764e-08	-1.05760920e-03	-1.15248126e-03	1.22787167e+00	1.22787175e+00	7.45532264e-04	3.05049478e-03	-2.25842780e-03	-1.43209394e-04
4               	-3.11893930e+00	-5.26644465e-03	-2.28210770e-04	-2.06082916e-07	5.76498821e-05	2.16241316e-03	-1.55946986e+00	-1.55946944e+00	-4.70809161e-04	-4.79563549e-03	-5.64555029e-05	-1.71755267e-04
5               	-4.71386974e+00	-7.55038229e-03	2.45659766e-03	-1.36955174e-07	1.13002257e-03	2.60887200e-03	-2.35693501e+00	-2.35693474e+00	-1.16631915e-03	-6.38406315e-03	2.35832140e-03	9.82762612e-05
6               	-2.34346559e+00	-3.30950500e-03	3.30713654e-03	-3.57562633e-08	1.32374877e-03	7.43377840e-04	-1.17173283e+00	-1.17173276e+00	-9.11374660e-04	-2.39813034e-03	2.97731704e-03	3.29819500e-04
7               	9.59105016e-01	2.90940609e-03	9.97387714e-04	-2.23970083e-08	9.04082765e-04	-1.22371244e-03	4.79552486e-01	4.79552531e-01	2.30990602e-04	2.67841548e-03	1.40277662e-03	-4.05388908e-04
8               	2.92902431e+00	6.99384738e-03	-1.81673618e-03	-2.25599402e-08	-1.66457227e-04	-1.26696722e-03	1.46451213e+00	1.46451218e+00	2.22995647e-03	4.76389092e-03	-1.07482532e-03	-7.41910865e-04
9               	2.66553479e+00	4.15763437e-03	-2.76066430e-03	-1.09842209e-07	-1.09694009e-03	-6.63299014e-04	1.33276729e+00	1.33276751e+00	1.41551817e-03	2.74211620e-03	-2.47727224e-03	-2.83392058e-04
10              	9.10670841e-01	-1.28896485e-03	-5.41333621e-04	-1.46326311e-07	-1.41165218e-03	6.88668702e-06	4.55335274e-01	4.55335567e-01	-6.37595740e-04	-6.51369114e-04	-1.68231899e-03	1.14098537e-03
11              	-5.88950032e-01	-3.01875060e-03	2.08906241e-03	-4.11490168e-08	-8.81419203e-04	8.70359984e-04	-2.94475057e-01	-2.94474975e-01	-6.39015317e-04	-2.37973529e-03	1.63112003e-04	1.92595041e-03
12              	-9.80461591e-01	-2.96654872e-03	4.17548573e-03	-4.38301701e-07	-3.30385731e-04	4.49660957e-04	-4.90231234e-01	-4.90230357e-01	-1.03361340e-03	-1.93293532e-03	1.75735714e-03	2.41812860e-03
13              	-3.63664527e-01	-1.08155049e-03	4.67142873e-03	-2.12747727e-07	-3.76631228e-04	-2.69034262e-04	-1.81832476e-01	-1.81832051e-01	-8.09809507e-04	-2.71740982e-04	1.95908314e-03	2.71234560e-03
14              	5.22410105e-01	8.86456980e-04	3.13691948e-03	-3.02190337e-07	-6.60289215e-04	-5.92682435e-04	2.61204750e-01	2.61205355e-01	-1.49453945e-04	1.03591092e-03	9.08170523e-04	2.22874895e-03
15              	1.02375336e+00	1.26839036e-03	6.29408854e-04	-2.90539280e-07	-7.94792406e-04	-3.91719957e-04	5.11876390e-01	5.11876971e-01	2.42475224e-04	1.02591514e-03	-4.80087979e-04	1.10949683e-03
