# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.50000000e+00
# Aref          : 2.06603698e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	8.28488596e-01	1.18049662e-03	-1.29842374e-04	1.10290766e-08	-9.01066509e-05	-4.26790581e-04	4.14244309e-01	4.14244287e-01	1.63457727e-04	1.01703889e-03	-1.55027838e-04	2.51854637e-05
2               	7.42578102e-01	1.14308974e-03	-2.63762321e-04	8.32147695e-09	-1.35266178e-04	-4.07281055e-04	3.71289059e-01	3.71289043e-01	1.64263815e-04	9.78825926e-04	-2.67147339e-04	3.38501743e-06
3               	2.09960725e-01	3.24552062e-04	-2.05334760e-04	-3.60329534e-09	-9.04232882e-05	-9.85346427e-05	1.04980359e-01	1.04980366e-01	6.37413883e-05	2.60810674e-04	-1.93090668e-04	-1.22440919e-05
4               	-2.66662532e-01	-4.50269572e-04	-1.95115249e-05	-1.76196414e-08	4.92893963e-06	1.84881626e-04	-1.33331284e-01	-1.33331248e-01	-4.02531601e-05	-4.10016412e-04	-4.82682280e-06	-1.46847021e-05
5               	-4.03025619e-01	-6.45541277e-04	2.10033761e-04	-1.17093697e-08	9.66144737e-05	2.23052886e-04	-2.01512821e-01	-2.01512798e-01	-9.97177522e-05	-5.45823525e-04	2.01631354e-04	8.40240675e-06
6               	-2.00361215e-01	-2.82955485e-04	2.82752986e-04	-3.05708280e-09	1.13177643e-04	6.35571897e-05	-1.00180611e-01	-1.00180605e-01	-7.79205528e-05	-2.05034932e-04	2.54554136e-04	2.81988504e-05
7               	8.20013945e-02	2.48747897e-04	8.52744819e-05	-1.91489553e-09	7.72971115e-05	-1.04624754e-04	4.10006953e-02	4.10006991e-02	1.97491944e-05	2.28998703e-04	1.19934352e-04	-3.46598706e-05
8               	2.50425213e-01	5.97958752e-04	-1.55326995e-04	-1.92882586e-09	-1.42317312e-05	-1.08322944e-04	1.25212605e-01	1.25212608e-01	1.90656432e-04	4.07302320e-04	-9.18952289e-05	-6.34317665e-05
9               	2.27897432e-01	3.55468703e-04	-2.36030798e-04	-9.39127012e-09	-9.37859937e-05	-5.67106242e-05	1.13948707e-01	1.13948725e-01	1.21023727e-04	2.34444976e-04	-2.11801393e-04	-2.42294051e-05
10              	7.78603778e-02	-1.10203694e-04	-4.62828481e-05	-1.25105816e-08	-1.20693193e-04	5.88796773e-07	3.89301764e-02	3.89302014e-02	-5.45130500e-05	-5.56906436e-05	-1.43834618e-04	9.75517694e-05
11              	-5.03539478e-02	-2.58096616e-04	1.78610296e-04	-3.51815151e-09	-7.53594263e-05	7.44138871e-05	-2.51769774e-02	-2.51769704e-02	-5.46344208e-05	-2.03462195e-04	1.39457217e-05	1.64664574e-04
12              	-8.38273352e-02	-2.53633468e-04	3.56994956e-04	-3.74738429e-08	-2.82472620e-05	3.84450346e-05	-4.19137051e-02	-4.19136301e-02	-8.83716996e-05	-1.65261769e-04	1.50250216e-04	2.06744740e-04
