# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(3.51580732e+02 -5.51004289e-02 -5.00960262e-01)	(3.46467977e+02 -5.51176927e-02 -5.00909579e-01)	(5.11275481e+00 1.72638255e-05 -5.06828969e-05)
2               	(3.15123411e+02 -1.11931233e-01 -4.85086131e-01)	(3.09953173e+02 -1.11897219e-01 -4.85026719e-01)	(5.17023836e+00 -3.40135130e-05 -5.94113833e-05)
3               	(8.90997724e+01 -8.71366794e-02 -1.37728210e-01)	(8.39455839e+01 -8.70895718e-02 -1.37647663e-01)	(5.15418841e+00 -4.71076587e-05 -8.05466624e-05)
4               	(-1.13161978e+02 -8.27998867e-03 1.91078195e-01)	(-1.18376975e+02 -8.19263980e-03 1.91162246e-01)	(5.21499759e+00 -8.73488651e-05 -8.40508593e-05)
5               	(-1.71029562e+02 8.91307661e-02 2.73944476e-01)	(-1.76370808e+02 8.94460051e-02 2.73998100e-01)	(5.34124557e+00 -3.15239004e-04 -5.36243782e-05)
6               	(-8.50260860e+01 1.19990187e-01 1.20076120e-01)	(-9.05493586e+01 1.20225081e-01 1.20262031e-01)	(5.52327258e+00 -2.34894092e-04 -1.85910202e-04)
7               	(3.47984395e+01 3.61874199e-02 -1.05559652e-01)	(2.90670980e+01 3.63373819e-02 -1.05338531e-01)	(5.73134147e+00 -1.49961942e-04 -2.21120859e-04)
8               	(1.06271444e+02 -6.59151845e-02 -2.53752166e-01)	(1.00419487e+02 -6.60017203e-02 -2.53635843e-01)	(5.85195735e+00 8.65357617e-05 -1.16322186e-04)
9               	(9.67114649e+01 -1.00162973e-01 -1.50848119e-01)	(9.08160695e+01 -9.99781296e-02 -1.50835244e-01)	(5.89539547e+00 -1.84842927e-04 -1.28759196e-05)
10              	(3.30411411e+01 -1.96407744e-02 4.67664798e-02)	(2.71530510e+01 -1.87662033e-02 4.72794655e-02)	(5.88809012e+00 -8.74571144e-04 -5.12985690e-04)
11              	(-2.13684025e+01 7.57957790e-02 1.09526911e-01)	(-2.72670192e+01 7.71681861e-02 1.10178237e-01)	(5.89861665e+00 -1.37240711e-03 -6.51326039e-04)
12              	(-3.55733030e+01 1.51495806e-01 1.07632912e-01)	(-4.15288271e+01 1.52786458e-01 1.07831778e-01)	(5.95552415e+00 -1.29065204e-03 -1.98865450e-04)
13              	(-1.31945489e+01 1.69489709e-01 3.92410305e-02)	(-1.92445165e+01 1.69965299e-01 3.94584139e-02)	(6.04996763e+00 -4.75589729e-04 -2.17383410e-04)
14              	(1.89541876e+01 1.13814338e-01 -3.21626089e-02)	(1.27991461e+01 1.13916040e-01 -3.21541611e-02)	(6.15504155e+00 -1.01701911e-04 -8.44781859e-06)
15              	(3.71440236e+01 2.28363376e-02 -4.60199921e-02)	(3.09133438e+01 2.30497102e-02 -4.59030258e-02)	(6.23067977e+00 -2.13372606e-04 -1.16966256e-04)
16              	(3.43229201e+01 -2.25871528e-02 -8.64036033e-03)	(2.80535751e+01 -2.22709829e-02 -8.53275563e-03)	(6.26934502e+00 -3.16169955e-04 -1.07604703e-04)
17              	(1.83746122e+01 1.33601277e-02 3.18834046e-02)	(1.20865754e+01 1.37923627e-02 3.19374593e-02)	(6.28803683e+00 -4.32235034e-04 -5.40546752e-05)
18              	(4.64049059e+00 8.36762625e-02 4.73702210e-02)	(-1.66824389e+00 8.40592061e-02 4.73975296e-02)	(6.30873448e+00 -3.82943659e-04 -2.73085794e-05)
19              	(1.75712062e+00 1.26459834e-01 3.54034085e-02)	(-4.58090006e+00 1.26710229e-01 3.54445088e-02)	(6.33802068e+00 -2.50395056e-04 -4.11002796e-05)
20              	(8.61497368e+00 1.15888996e-01 1.25209628e-02)	(2.24248164e+00 1.16017895e-01 1.26055540e-02)	(6.37249205e+00 -1.28899107e-04 -8.45911605e-05)
21              	(1.81492915e+01 7.56952768e-02 1.29981636e-03)	(1.17446150e+01 7.57714238e-02 1.42102078e-03)	(6.40467653e+00 -7.61470179e-05 -1.21204424e-04)
22              	(2.35137885e+01 4.54519780e-02 5.53054183e-03)	(1.70843877e+01 4.54845093e-02 5.66711397e-03)	(6.42940077e+00 -3.25312933e-05 -1.36572142e-04)
23              	(2.26294210e+01 4.56087721e-02 2.02151739e-02)	(1.61833990e+01 4.56461029e-02 2.03203469e-02)	(6.44602195e+00 -3.73308175e-05 -1.05173035e-04)
24              	(1.84403638e+01 7.22762082e-02 3.00364283e-02)	(1.19836230e+01 7.23077408e-02 3.01005525e-02)	(6.45674077e+00 -3.15325565e-05 -6.41242628e-05)
25              	(1.50720557e+01 1.06837319e-01 3.30838095e-02)	(8.60780340e+00 1.06734257e-01 3.31449211e-02)	(6.46425232e+00 1.03061713e-04 -6.11115726e-05)
26              	(1.47190754e+01 1.27157341e-01 2.65983147e-02)	(8.24898364e+00 1.26921209e-01 2.66250854e-02)	(6.47009177e+00 2.36131762e-04 -2.67706770e-05)
27              	(1.67182104e+01 1.26537154e-01 1.83260373e-02)	(1.02438565e+01 1.26171486e-01 1.83512078e-02)	(6.47435393e+00 3.65667998e-04 -2.51704974e-05)
28              	(1.89525870e+01 1.18049387e-01 1.46581888e-02)	(1.24762589e+01 1.17565088e-01 1.46529621e-02)	(6.47632806e+00 4.84299318e-04 5.22663805e-06)
29              	(1.97517259e+01 1.14323042e-01 1.75059203e-02)	(1.32763791e+01 1.13718566e-01 1.74874810e-02)	(6.47534680e+00 6.04475891e-04 1.84392757e-05)
30              	(1.88437832e+01 1.24219287e-01 2.29421280e-02)	(1.23725563e+01 1.23541370e-01 2.29210553e-02)	(6.47122685e+00 6.77916919e-04 2.10727026e-05)
31              	(1.70928688e+01 1.49397125e-01 2.71748298e-02)	(1.06285055e+01 1.48629730e-01 2.71570650e-02)	(6.46436324e+00 7.67395069e-04 1.77647589e-05)
32              	(1.56892527e+01 1.73675934e-01 2.95982543e-02)	(9.23378527e+00 1.72820925e-01 2.95784345e-02)	(6.45546746e+00 8.55008194e-04 1.98197353e-05)
33              	(1.51828294e+01 1.88253251e-01 3.04296978e-02)	(8.73776989e+00 1.87306396e-01 3.04048306e-02)	(6.44505947e+00 9.46854669e-04 2.48671791e-05)
34              	(1.53400730e+01 1.95985494e-01 3.03875946e-02)	(8.90682097e+00 1.94949169e-01 3.03597570e-02)	(6.43325208e+00 1.03632539e-03 2.78376448e-05)
35              	(1.55886025e+01 1.99209942e-01 3.13610674e-02)	(9.16864882e+00 1.98096534e-01 3.13317275e-02)	(6.41995372e+00 1.11340726e-03 2.93399143e-05)
36              	(1.55275860e+01 2.05675770e-01 3.39974836e-02)	(9.12247921e+00 2.04494577e-01 3.39671833e-02)	(6.40510676e+00 1.18119282e-03 3.03003037e-05)
37              	(1.51503882e+01 2.18899679e-01 3.84925975e-02)	(8.76160922e+00 2.17657494e-01 3.84638240e-02)	(6.38877896e+00 1.24218488e-03 2.87735719e-05)
38              	(1.47006510e+01 2.34230474e-01 4.33952320e-02)	(8.32952170e+00 2.32929181e-01 4.33671395e-02)	(6.37112926e+00 1.30129324e-03 2.80925118e-05)
39              	(1.44361861e+01 2.48324528e-01 4.77089302e-02)	(8.08383301e+00 2.46969433e-01 4.76807597e-02)	(6.35235310e+00 1.35509521e-03 2.81704885e-05)
40              	(1.44656654e+01 2.60800627e-01 5.04708756e-02)	(8.13305497e+00 2.59404998e-01 5.04445457e-02)	(6.33261045e+00 1.39562839e-03 2.63298693e-05)
41              	(1.46843162e+01 2.73061535e-01 5.17258902e-02)	(8.37230649e+00 2.71632441e-01 5.17013495e-02)	(6.31200970e+00 1.42909441e-03 2.45406829e-05)
42              	(1.48906393e+01 2.85621305e-01 5.31975243e-02)	(8.60003512e+00 2.84160436e-01 5.31773886e-02)	(6.29060420e+00 1.46086893e-03 2.01356780e-05)
43              	(1.49430126e+01 2.98233954e-01 5.60099129e-02)	(8.67458200e+00 2.96744606e-01 5.59955524e-02)	(6.26843061e+00 1.48934803e-03 1.43605225e-05)
44              	(1.48330653e+01 3.11274573e-01 5.93224890e-02)	(8.58752342e+00 3.09759607e-01 5.93135456e-02)	(6.24554191e+00 1.51496611e-03 8.94334969e-06)
45              	(1.46437277e+01 3.26922344e-01 6.16047356e-02)	(8.42170725e+00 3.25384017e-01 6.16001448e-02)	(6.22202047e+00 1.53832708e-03 4.59083591e-06)
46              	(1.44584599e+01 3.44299089e-01 6.32758327e-02)	(8.26050670e+00 3.42736185e-01 6.32738183e-02)	(6.19795320e+00 1.56290355e-03 2.01441687e-06)
47              	(1.43091980e+01 3.62348406e-01 6.51313197e-02)	(8.13577726e+00 3.60760181e-01 6.51305093e-02)	(6.17342075e+00 1.58822428e-03 8.10404190e-07)
48              	(1.41809914e+01 3.79475035e-01 6.75684054e-02)	(8.03248961e+00 3.77862671e-01 6.75677672e-02)	(6.14850182e+00 1.61236381e-03 6.38182588e-07)
49              	(1.40442954e+01 3.95216797e-01 7.07492852e-02)	(7.92101997e+00 3.93583217e-01 7.07482999e-02)	(6.12327542e+00 1.63357931e-03 9.85261754e-07)
50              	(1.38853533e+01 4.11930184e-01 7.48328968e-02)	(7.78753422e+00 4.10277975e-01 7.48318345e-02)	(6.09781904e+00 1.65220854e-03 1.06222895e-06)
51              	(1.37114702e+01 4.32015958e-01 7.97241728e-02)	(7.63926404e+00 4.30352309e-01 7.97227742e-02)	(6.07220615e+00 1.66364894e-03 1.39858824e-06)
52              	(1.35439642e+01 4.57066081e-01 8.54502116e-02)	(7.49744635e+00 4.55395999e-01 8.54483100e-02)	(6.04651788e+00 1.67008140e-03 1.90163290e-06)
53              	(1.34015525e+01 4.86274151e-01 9.18753663e-02)	(7.38073398e+00 4.84594535e-01 9.18729279e-02)	(6.02081847e+00 1.67961602e-03 2.43841501e-06)
54              	(1.32902048e+01 5.16763631e-01 9.89715574e-02)	(7.29504950e+00 5.15069103e-01 9.89693746e-02)	(5.99515530e+00 1.69452745e-03 2.18279564e-06)
55              	(1.32008254e+01 5.47037893e-01 1.06963420e-01)	(7.23126457e+00 5.45322629e-01 1.06962226e-01)	(5.96956079e+00 1.71526364e-03 1.19473820e-06)
56              	(1.31203243e+01 5.77359420e-01 1.15664270e-01)	(7.17626619e+00 5.75620609e-01 1.15664644e-01)	(5.94405812e+00 1.73881031e-03 -3.74543759e-07)
57              	(1.30436551e+01 6.09164833e-01 1.24938726e-01)	(7.12499035e+00 6.07397770e-01 1.24941035e-01)	(5.91866479e+00 1.76706386e-03 -2.30865448e-06)
58              	(1.29724888e+01 6.44061321e-01 1.34741050e-01)	(7.07908494e+00 6.42257890e-01 1.34745501e-01)	(5.89340389e+00 1.80343049e-03 -4.45160641e-06)
59              	(1.29097976e+01 6.82223921e-01 1.45051176e-01)	(7.04148815e+00 6.80370566e-01 1.45056661e-01)	(5.86830941e+00 1.85335492e-03 -5.48444796e-06)
60              	(1.28562002e+01 7.22542737e-01 1.55833215e-01)	(7.01278153e+00 7.20621125e-01 1.55837134e-01)	(5.84341872e+00 1.92161188e-03 -3.91914595e-06)
61              	(1.28097965e+01 7.64228061e-01 1.67166976e-01)	(6.99103023e+00 7.62217775e-01 1.67166542e-01)	(5.81876623e+00 2.01028539e-03 4.33377909e-07)
62              	(1.27680346e+01 8.07354680e-01 1.78995782e-01)	(6.97365267e+00 8.05234830e-01 1.78990042e-01)	(5.79438196e+00 2.11984950e-03 5.73936801e-06)
63              	(1.27290292e+01 8.52445508e-01 1.91314813e-01)	(6.95873834e+00 8.50192390e-01 1.91297376e-01)	(5.77029083e+00 2.25311732e-03 1.74363312e-05)
64              	(1.26913265e+01 9.00379708e-01 2.04253603e-01)	(6.94481545e+00 8.97963951e-01 2.04217880e-01)	(5.74651106e+00 2.41575704e-03 3.57225829e-05)
65              	(1.26548851e+01 9.51484312e-01 2.17775658e-01)	(6.93182425e+00 9.48879264e-01 2.17714682e-01)	(5.72306082e+00 2.60504822e-03 6.09758676e-05)
66              	(1.26201545e+01 1.00564283e+00 2.32035589e-01)	(6.92020167e+00 1.00282292e+00 2.31941110e-01)	(5.69995284e+00 2.81991711e-03 9.44791052e-05)
67              	(1.25878351e+01 1.06268285e+00 2.47066731e-01)	(6.91063571e+00 1.05962201e+00 2.46930844e-01)	(5.67719935e+00 3.06084678e-03 1.35887674e-04)
68              	(1.25587211e+01 1.12258934e+00 2.62756507e-01)	(6.90390967e+00 1.11926085e+00 2.62569610e-01)	(5.65481140e+00 3.32848415e-03 1.86897215e-04)
69              	(1.25328892e+01 1.18555191e+00 2.79072356e-01)	(6.90008992e+00 1.18192893e+00 2.78826120e-01)	(5.63279925e+00 3.62297561e-03 2.46236422e-04)
70              	(1.25098641e+01 1.25181752e+00 2.96216557e-01)	(6.89869230e+00 1.24787421e+00 2.95904156e-01)	(5.61117179e+00 3.94331318e-03 3.12400979e-04)
71              	(1.24891261e+01 1.32158625e+00 3.14146151e-01)	(6.89918493e+00 1.31729522e+00 3.13757791e-01)	(5.58994120e+00 4.29102890e-03 3.88360153e-04)
