# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(7.02051454e-06 -2.71671835e-01 5.73570278e-02)	(7.07700838e-06 -2.71651700e-01 5.73304085e-02)	(-5.64938393e-08 -2.01354005e-05 2.66192482e-05)
2               	(5.29700282e-06 -2.59253124e-01 8.61031438e-02)	(5.42969187e-06 -2.59217610e-01 8.59928972e-02)	(-1.32689043e-07 -3.55144077e-05 1.10246682e-04)
3               	(-2.29366321e-06 -6.27218322e-02 5.75585819e-02)	(-2.03076445e-06 -6.26500204e-02 5.73611083e-02)	(-2.62898768e-07 -7.18117356e-05 1.97473555e-04)
4               	(-1.12157122e-05 1.17685658e-01 -3.13749678e-03)	(-1.12132504e-05 1.17821776e-01 -3.30349425e-03)	(-2.46173086e-09 -1.36117121e-04 1.65997467e-04)
5               	(-7.45355241e-06 1.41983421e-01 -6.14995562e-02)	(-8.17681192e-06 1.42186460e-01 -6.14274959e-02)	(7.23259515e-07 -2.03038650e-04 -7.20603232e-05)
6               	(-1.94597381e-06 4.04570745e-02 -7.20427752e-02)	(-3.61005103e-06 4.06021646e-02 -7.19717864e-02)	(1.66407722e-06 -1.45090075e-04 -7.09887594e-05)
7               	(-1.21891908e-06 -6.65984682e-02 -4.92031667e-02)	(-2.01323909e-06 -6.64591138e-02 -4.91127929e-02)	(7.94320010e-07 -1.39354456e-04 -9.03738451e-05)
8               	(-1.22778637e-06 -6.89525363e-02 9.05915147e-03)	(3.01678511e-06 -6.87289715e-02 9.01859243e-03)	(-4.24457148e-06 -2.23564768e-04 4.05590389e-05)
9               	(-5.97797538e-06 -3.60989207e-02 5.96990987e-02)	(3.20158623e-06 -3.57973797e-02 5.97948233e-02)	(-9.17956161e-06 -3.01540983e-04 -9.57246196e-05)
10              	(-7.96356062e-06 3.74796228e-04 7.68267689e-02)	(-8.90761434e-07 3.48916411e-04 7.73380519e-02)	(-7.07279919e-06 2.58798165e-05 -5.11283042e-04)
11              	(-2.23946525e-06 4.73678618e-02 4.79697410e-02)	(-2.73294886e-06 4.72544232e-02 4.87552716e-02)	(4.93483607e-07 1.13438596e-04 -7.85530620e-04)
12              	(-2.38538246e-05 2.44720328e-02 1.79806815e-02)	(-5.22903602e-06 2.46561932e-02 1.87276638e-02)	(-1.86247886e-05 -1.84160482e-04 -7.46982378e-04)
13              	(-1.15784332e-05 -1.46417321e-02 2.04975140e-02)	(-3.51292535e-06 -1.44607425e-02 2.07428894e-02)	(-8.06550781e-06 -1.80989677e-04 -2.45375392e-04)
14              	(-1.64461951e-05 -3.22557334e-02 3.59351174e-02)	(-1.93314164e-06 -3.19407830e-02 3.59120049e-02)	(-1.45130535e-05 -3.14950407e-04 2.31125386e-05)
15              	(-1.58121062e-05 -2.13186924e-02 4.32552249e-02)	(-2.12478387e-06 -2.10772588e-02 4.32881354e-02)	(-1.36873223e-05 -2.41433626e-04 -3.29105187e-05)
16              	(-1.32358970e-05 1.23498947e-03 4.58292376e-02)	(-2.34109845e-06 1.47715222e-03 4.59304895e-02)	(-1.08947985e-05 -2.42162751e-04 -1.01251907e-04)
17              	(-1.20106294e-05 1.73802337e-02 4.92253145e-02)	(-2.40018843e-06 1.76309873e-02 4.94037904e-02)	(-9.61044093e-06 -2.50753636e-04 -1.78475930e-04)
18              	(-1.09306190e-05 1.79067390e-02 5.17389945e-02)	(-2.36480385e-06 1.81666680e-02 5.18917517e-02)	(-8.56581517e-06 -2.59928922e-04 -1.52757173e-04)
19              	(-9.50377760e-06 5.10795490e-03 4.75011746e-02)	(-2.10072270e-06 5.35863894e-03 4.75767436e-02)	(-7.40305489e-06 -2.50684037e-04 -7.55690250e-05)
20              	(-7.38340781e-06 -4.65010038e-03 3.99885860e-02)	(-1.85289446e-06 -4.42463141e-03 3.99943694e-02)	(-5.53051335e-06 -2.25468968e-04 -5.78338074e-06)
21              	(-5.62396419e-06 -8.19197356e-03 3.63965231e-02)	(-1.84167040e-06 -7.99267600e-03 3.63762378e-02)	(-3.78229379e-06 -1.99297564e-04 2.02853843e-05)
22              	(-4.76048299e-06 -5.94496122e-03 3.99804528e-02)	(-2.07140314e-06 -5.76396660e-03 3.99348815e-02)	(-2.68907985e-06 -1.80994622e-04 4.55713564e-05)
23              	(-4.52780314e-06 -3.17279439e-03 4.64634489e-02)	(-2.41596839e-06 -2.98302462e-03 4.64238813e-02)	(-2.11183475e-06 -1.89769775e-04 3.95675747e-05)
24              	(-5.04988259e-06 -2.48605765e-03 5.21717416e-02)	(-2.56333427e-06 -2.28133007e-03 5.21331143e-02)	(-2.48654832e-06 -2.04727586e-04 3.86273218e-05)
25              	(-5.30749639e-06 -6.28368712e-03 5.74499456e-02)	(-2.29043889e-06 -6.08550473e-03 5.73311797e-02)	(-3.01705750e-06 -1.98182396e-04 1.18765897e-04)
26              	(-5.83455298e-06 -9.39637588e-03 6.05178608e-02)	(-2.25209745e-06 -9.18019283e-03 6.03215056e-02)	(-3.58245553e-06 -2.16183046e-04 1.96355211e-04)
27              	(-6.22861601e-06 -1.10234445e-02 6.11272532e-02)	(-2.28544636e-06 -1.08098904e-02 6.08548978e-02)	(-3.94316965e-06 -2.13554077e-04 2.72355362e-04)
28              	(-6.51011770e-06 -1.06745564e-02 6.30927388e-02)	(-2.35350332e-06 -1.04444156e-02 6.27477659e-02)	(-4.15661438e-06 -2.30140801e-04 3.44972914e-04)
29              	(-6.27593292e-06 -1.02658530e-02 6.74295762e-02)	(-2.32915589e-06 -1.00312775e-02 6.70077206e-02)	(-3.94677703e-06 -2.34575479e-04 4.21855654e-04)
30              	(-5.75972116e-06 -1.10238569e-02 7.47044868e-02)	(-2.21018246e-06 -1.07926831e-02 7.42364397e-02)	(-3.54953869e-06 -2.31173806e-04 4.68047047e-04)
31              	(-5.04518602e-06 -1.28744477e-02 8.55322517e-02)	(-1.95161170e-06 -1.26507821e-02 8.50093337e-02)	(-3.09357432e-06 -2.23665560e-04 5.22918053e-04)
32              	(-4.46889638e-06 -1.50003025e-02 9.50625258e-02)	(-1.68802154e-06 -1.47799800e-02 9.44878859e-02)	(-2.78087484e-06 -2.20322517e-04 5.74639960e-04)
33              	(-4.08206742e-06 -1.64463206e-02 1.01446218e-01)	(-1.51210889e-06 -1.62268366e-02 1.00818711e-01)	(-2.56995853e-06 -2.19484069e-04 6.27506468e-04)
34              	(-3.95985210e-06 -1.67287089e-02 1.07054058e-01)	(-1.57618918e-06 -1.65105694e-02 1.06376849e-01)	(-2.38366292e-06 -2.18139483e-04 6.77208685e-04)
35              	(-4.06708352e-06 -1.70179936e-02 1.12170992e-01)	(-1.82283569e-06 -1.68015063e-02 1.11453414e-01)	(-2.24424784e-06 -2.16487371e-04 7.17578437e-04)
36              	(-4.25063180e-06 -1.82387729e-02 1.18488191e-01)	(-2.15439221e-06 -1.80243456e-02 1.17736756e-01)	(-2.09623958e-06 -2.14427302e-04 7.51435493e-04)
37              	(-4.38717999e-06 -2.07824336e-02 1.26805179e-01)	(-2.48384154e-06 -2.05721812e-02 1.26024044e-01)	(-1.90333844e-06 -2.10252374e-04 7.81135045e-04)
38              	(-4.33800551e-06 -2.39647273e-02 1.34655158e-01)	(-2.73684063e-06 -2.37591785e-02 1.33844983e-01)	(-1.60116489e-06 -2.05548858e-04 8.10174130e-04)
