nose_length,body_length,tail_length,dia,nose_shape_param(n),tail_semiangle,nn_pred,foam_out
1.575892605040140779e+02,6.443758742281615923e+02,4.480348652678244434e+02,1.200000000000000000e+02,3.315879894981374321e+01,2.816789370924988489e+01,3.999010562896728516e+00,3.998162699999999958e+00
1.575892605040140779e+02,6.443758742281615923e+02,4.480348652678244434e+02,1.200000000000000000e+02,3.315879894981374321e+01,2.247115136676401193e+01,3.894227504730224609e+00,3.830035500000000148e+00
1.575892605040140779e+02,6.443758742281615923e+02,4.480348652678244434e+02,1.200000000000000000e+02,3.315879894981374321e+01,1.953056664161845646e+01,3.839287281036376953e+00,3.758394700000000199e+00
1.575892605040140779e+02,6.443758742281615923e+02,4.480348652678244434e+02,1.200000000000000000e+02,2.682267663983204642e+01,1.469316414578680963e+01,3.709129333496093750e+00,3.649718200000000135e+00
1.575892605040140779e+02,6.443758742281615923e+02,4.480348652678244434e+02,1.200000000000000000e+02,3.315879894981374321e+01,9.814088912354538508e+00,3.651692390441894531e+00,3.613921799999999962e+00
1.575892605040140779e+02,6.508034590098359331e+02,4.416072804861501027e+02,1.200000000000000000e+02,3.315879894981374321e+01,3.021439887326339502e+00,3.536334991455078125e+00,3.547969099999999987e+00
2.634958830836146149e+02,5.728926579489489086e+02,4.136114589674364197e+02,1.200000000000000000e+02,2.666716038813012801e+01,2.411352313496355038e+00,3.393220901489257812e+00,3.386409599999999909e+00
2.726452510470886068e+02,5.637432899854750303e+02,4.136114589674364197e+02,1.200000000000000000e+02,2.666642032823235553e+01,2.382780064991833591e+00,3.384814739227294922e+00,3.374356099999999969e+00
2.726452510470886068e+02,5.637432899854750303e+02,4.136114589674364197e+02,1.200000000000000000e+02,2.666642032823235553e+01,2.382780064991833591e+00,3.384814739227294922e+00,3.374356099999999969e+00
2.734012572033176411e+02,5.629872838292459392e+02,4.136114589674364197e+02,1.200000000000000000e+02,2.666716038813012801e+01,2.411352313496355038e+00,3.384465694427490234e+00,3.369623600000000163e+00
2.921546769023675552e+02,5.306773198779972063e+02,4.271680032196351817e+02,1.200000000000000000e+02,2.666716038813012801e+01,2.411352313496355038e+00,3.360138416290283203e+00,3.325396599999999925e+00
3.390812069403719420e+02,4.696473461005094236e+02,4.412714469591186912e+02,1.200000000000000000e+02,2.666712627503157051e+01,2.382780064991833591e+00,3.351363658905029297e+00,3.255583399999999905e+00
3.390812069403719420e+02,4.696473461005094236e+02,4.412714469591186912e+02,1.200000000000000000e+02,2.666712627503157051e+01,2.382780064991833591e+00,3.351363658905029297e+00,3.255583399999999905e+00
3.264505403120721780e+02,4.854347728052406410e+02,4.381146868826871241e+02,1.200000000000000000e+02,2.177747346190184885e+01,2.651717993233961845e+00,3.328845024108886719e+00,3.244391300000000200e+00
3.264505403120721780e+02,4.854347728052406410e+02,4.381146868826871241e+02,1.200000000000000000e+02,2.177747346190184885e+01,2.651717993233961845e+00,3.328845024108886719e+00,3.244391300000000200e+00
3.255154853838380404e+02,4.495918881580111020e+02,4.748926264581508576e+02,1.200000000000000000e+02,1.318541104391777630e+01,2.382780064991833591e+00,3.137585163116455078e+00,3.095258700000000029e+00
4.069397701876983433e+02,3.751162568002365560e+02,4.679439730120651575e+02,1.200000000000000000e+02,2.173804785955301710e+01,1.108824764943992403e+00,3.124645709991455078e+00,3.088354300000000219e+00
3.815127610167134549e+02,4.448827242992471156e+02,4.236045146840393727e+02,1.200000000000000000e+02,1.291683782494943422e+01,1.324585765943028015e+00,3.059879779815673828e+00,3.100425200000000103e+00
3.815127610167134549e+02,4.448827242992471156e+02,4.236045146840393727e+02,1.200000000000000000e+02,1.229188434212391456e+01,1.324585765943028015e+00,3.033995628356933594e+00,3.092936700000000094e+00
4.539355673325352427e+02,3.696295707802371453e+02,4.264348618872276120e+02,1.200000000000000000e+02,1.229188434212391456e+01,1.917542837453281024e+00,2.748471736907958984e+00,3.004160100000000000e+00
